单位代码,count
35402,264
35406,264
35405,264
35404,264
35409,264
35401,262
35403,262
35408,262
35407,260
35101,134
3540603,132
3540911,130
3540813,130
3540903,130
3540611,130
3540509,130
3540506,130
3540507,130
3540404,130
3540508,130
3540708,130
3540605,130
3540510,130
3540710,130
3540802,130
3540810,130
3540108,130
3540107,130
3540113,130
3540302,130
3540303,130
3540910,128
3540812,128
3540906,128
3540612,128
3540604,128
3540707,128
3540709,128
3540705,128
3540806,128
3540111,128
3540109,128
3540112,128
3540110,128
3540309,128
3540305,128
3540908,126
3540809,126
3540610,126
3540606,126
3540706,126
3540609,126
3540805,126
3540907,126
3540807,126
3540912,126
3540114,126
3540304,126
3540308,126
3540511,126
3540913,124
3540811,124
3540808,124
3540306,124
3540307,124
3540905,122
3540608,122
3540607,122
3540909,120
3540405,120
3540512,118
