单位名称,count
厦门,264
漳州,264
泉州,264
莆田,264
南平,264
福州,262
宁德,262
三明,262
龙岩,260
全省,134
龙海,132
顺昌,130
将乐,130
邵武,130
南靖,130
惠安,130
南安,130
晋江,130
仙游,130
石狮,130
上杭,130
漳浦,130
安溪,130
武平,130
永安,130
大田,130
福清,130
闽侯,130
永泰,130
福安,130
福鼎,130
浦城,128
尤溪,128
建阳,128
华安,128
长泰,128
永定,128
连城,128
漳平,128
沙县,128
罗源,128
长乐,128
闽清,128
连江,128
霞浦,128
屏南,128
延平,126
建宁,126
平和,126
云霄,126
长汀,126
诏安,126
清流,126
建瓯,126
宁化,126
政和,126
平潭,126
古田,126
柘荣,126
永春,126
松溪,124
明溪,124
泰宁,124
周宁,124
寿宁,124
武夷山,122
东山,122
常山,122
光泽,120
湄洲岛,120
德化,118
