行业名称,count
全社会用电总计不含抽蓄,160
全社会用电总计,160
   第一产业,160
   第二产业,160
   第三产业,160
B、城乡居民生活用电合计,160
   城镇居民,160
   乡村居民,160
一、农、林、牧、渔业,160
二、工业,160
（一）采矿业,160
（二） 制造业,160
   1.农副食品加工业,160
   2.食品制造业,160
   3.酒、饮料及精制茶制造业,160
   5.纺织业,160
   6.纺织服装、服饰业,160
   7.皮革、毛皮、羽毛及其制品和制鞋业,160
   8.木材加工和木、竹、藤、棕、草制品业,160
   9.家具制造业,160
   10.造纸和纸制品业,160
   11.印刷和记录媒介复制业,160
   12.文教、工美、体育和娱乐用品制造业,160
   13.石油、煤炭及其他燃料加工业,160
   17.橡胶和塑料制品业,160
   18.非金属矿物制品业,160
   21.金属制品业,160
   22.通用设备制造业,160
   23.专用设备制造业,160
   26.电气机械和器材制造业,160
   29.其他制造业,160
   30.废弃资源综合利用业,160
   31.金属制品、机械和设备修理业,160
   1.电力、热力生产和供应业,160
三、建筑业,160
四、交通运输、仓储和邮政业,160
五、信息传输、软件和信息技术服务业,160
六、批发和零售业,160
七、住宿和餐饮业,160
八、金融业,160
九、房地产业,160
十、租赁和商务服务业,160
十一、公共服务及管理组织,160
代购商业,160
代购非居照,160
代购大工业,160
代购一般工商业,160
非居照,160
农业,160
非普,160
一般工商业,160
大工业（不含抽蓄),160
代购非普,160
居民,160
商业,160
   14.化学原料和化学制品制造业,158
   15.医药制造业,158
   27.计算机、通信和其他电子设备制造业,158
   20.有色金属冶炼和压延加工业,156
   25.铁路、船舶、航空航天和其他运输设备制造业,144
   19.黑色金属冶炼和压延加工业,140
   4.烟草制品业,138
   24.汽车制造业,138
   16.化学纤维制造业,128
   28.仪器仪表制造业,104
趸售,20
抽蓄,18
