industry_name,manufacturing_group,present_in_data
1.农副食品加工业,消费与轻工制造,True
2.食品制造业,消费与轻工制造,True
3.酒、饮料及精制茶制造业,消费与轻工制造,True
4.烟草制品业,消费与轻工制造,True
5.纺织业,消费与轻工制造,True
6.纺织服装、服饰业,消费与轻工制造,True
7.皮革、毛皮、羽毛及其制品和制鞋业,消费与轻工制造,True
8.木材加工和木、竹、藤、棕、草制品业,消费与轻工制造,True
9.家具制造业,消费与轻工制造,True
10.造纸和纸制品业,消费与轻工制造,True
11.印刷和记录媒介复制业,消费与轻工制造,True
12.文教、工美、体育和娱乐用品制造业,消费与轻工制造,True
13.石油、煤炭及其他燃料加工业,传统高耗能与材料行业,True
14.化学原料和化学制品制造业,传统高耗能与材料行业,True
15.医药制造业,先进制造与技术相关行业,True
16.化学纤维制造业,传统高耗能与材料行业,True
17.橡胶和塑料制品业,传统高耗能与材料行业,True
18.非金属矿物制品业,传统高耗能与材料行业,True
19.黑色金属冶炼和压延加工业,传统高耗能与材料行业,True
20.有色金属冶炼和压延加工业,传统高耗能与材料行业,True
21.金属制品业,装备制造,True
22.通用设备制造业,装备制造,True
23.专用设备制造业,装备制造,True
24.汽车制造业,装备制造,True
25.铁路、船舶、航空航天和其他运输设备制造业,装备制造,True
26.电气机械和器材制造业,装备制造,True
27.计算机、通信和其他电子设备制造业,先进制造与技术相关行业,True
28.仪器仪表制造业,先进制造与技术相关行业,True
29.其他制造业,其他制造,True
30.废弃资源综合利用业,其他制造,True
31.金属制品、机械和设备修理业,其他制造,True
