类型,汇总方式,单位代码,单位名称,行号,行业代码,行业名称,行业名称_清洗
用电,按地市汇总,35101,全省,3102,1300,   1.农副食品加工业,1.农副食品加工业
用电,按地市汇总,35101,全省,3502,4400,   1.电力、热力生产和供应业,1.电力、热力生产和供应业
用电,按地市汇总,35101,全省,3160,2200,   10.造纸和纸制品业,10.造纸和纸制品业
用电,按地市汇总,35101,全省,3164,2300,   11.印刷和记录媒介复制业,11.印刷和记录媒介复制业
用电,按地市汇总,35101,全省,3168,2400,   12.文教、工美、体育和娱乐用品制造业,12.文教、工美、体育和娱乐用品制造业
用电,按地市汇总,35101,全省,3175,2500,   13.石油、煤炭及其他燃料加工业,13.石油、煤炭及其他燃料加工业
用电,按地市汇总,35101,全省,3182,2600,   14.化学原料和化学制品制造业,14.化学原料和化学制品制造业
用电,按地市汇总,35101,全省,3195,2700,   15.医药制造业,15.医药制造业
用电,按地市汇总,35101,全省,3204,2800,   16.化学纤维制造业,16.化学纤维制造业
用电,按地市汇总,35101,全省,3208,3AA0,   17.橡胶和塑料制品业,17.橡胶和塑料制品业
用电,按地市汇总,35101,全省,3227,3100,   18.非金属矿物制品业,18.非金属矿物制品业
用电,按地市汇总,35101,全省,3259,3200,   19.黑色金属冶炼和压延加工业,19.黑色金属冶炼和压延加工业
用电,按地市汇总,35101,全省,3111,1400,   2.食品制造业,2.食品制造业
用电,按地市汇总,35101,全省,3266,3300,   20.有色金属冶炼和压延加工业,20.有色金属冶炼和压延加工业
用电,按地市汇总,35101,全省,3274,3400,   21.金属制品业,21.金属制品业
用电,按地市汇总,35101,全省,3293,3500,   22.通用设备制造业,22.通用设备制造业
用电,按地市汇总,35101,全省,3309,3600,   23.专用设备制造业,23.专用设备制造业
用电,按地市汇总,35101,全省,3319,3800,   24.汽车制造业,24.汽车制造业
用电,按地市汇总,35101,全省,3329,3700,   25.铁路、船舶、航空航天和其他运输设备制造业,25.铁路、船舶、航空航天和其他运输设备制造业
用电,按地市汇总,35101,全省,3340,3900,   26.电气机械和器材制造业,26.电气机械和器材制造业
用电,按地市汇总,35101,全省,3351,4000,   27.计算机、通信和其他电子设备制造业,27.计算机、通信和其他电子设备制造业
用电,按地市汇总,35101,全省,3366,4100,   28.仪器仪表制造业,28.仪器仪表制造业
用电,按地市汇总,35101,全省,3374,4200,   29.其他制造业,29.其他制造业
用电,按地市汇总,35101,全省,3119,1500,   3.酒、饮料及精制茶制造业,3.酒、饮料及精制茶制造业
用电,按地市汇总,35101,全省,3378,4300,   30.废弃资源综合利用业,30.废弃资源综合利用业
用电,按地市汇总,35101,全省,3381,4B00,   31.金属制品、机械和设备修理业,31.金属制品、机械和设备修理业
用电,按地市汇总,35101,全省,3123,1600,   4.烟草制品业,4.烟草制品业
用电,按地市汇总,35101,全省,3127,1700,   5.纺织业,5.纺织业
用电,按地市汇总,35101,全省,3136,1800,   6.纺织服装、服饰业,6.纺织服装、服饰业
用电,按地市汇总,35101,全省,3140,1900,   7.皮革、毛皮、羽毛及其制品和制鞋业,7.皮革、毛皮、羽毛及其制品和制鞋业
