sheet,column,group,non_null
全省,序号,索引,1105
全省,日期,索引,1105
全省,合计,行业或细分区域,1105
全省,福州,地市总量,1105
全省,厦门,地市总量,1105
全省,莆田,地市总量,1105
全省,泉州,地市总量,1105
全省,漳州,地市总量,1105
全省,龙岩,地市总量,1105
全省,三明,地市总量,1105
全省,南平,地市总量,1105
全省,宁德,地市总量,1105
全省,大工业电量,用电类别,1105
全省,非普工业,用电类别,1105
全省,居民生活,用电类别,1105
全省,非居照明,用电类别,1105
全省,商业用电,用电类别,1105
全省,农业,用电类别,1105
全省,抽水蓄能,用电类别,1105
全省,黑色金属冶炼,行业或细分区域,1105
全省,非金属矿物制品业,行业或细分区域,1105
全省,化学制品制造业,行业或细分区域,1105
全省,纺织业,行业或细分区域,1105
全省,有色金属冶炼,行业或细分区域,1105
全省,通信设备制造业,行业或细分区域,1105
全省,金属制品业,行业或细分区域,1105
全省,橡胶和塑料,行业或细分区域,1105
全省,服饰业,行业或细分区域,1105
全省,造纸和纸制品业,行业或细分区域,1105
全省,机械,行业或细分区域,1105
全省,电子,行业或细分区域,1105
全省,石化,行业或细分区域,1105
全省,食品,行业或细分区域,1105
全省,服装,行业或细分区域,1105
全省,农林牧渔业,行业或细分区域,1105
全省,制造业,行业或细分区域,1105
全省,建筑业,行业或细分区域,1105
全省,交通仓储和邮政业,行业或细分区域,1105
全省,信息传输,行业或细分区域,1105
全省,批发和零售业,行业或细分区域,1105
全省,住宿和餐饮业,行业或细分区域,1105
全省,金融业,行业或细分区域,1105
全省,房地产业,行业或细分区域,1105
全省,租赁和商务服务,行业或细分区域,1105
全省,公共服务及管理组织,行业或细分区域,1105
全省,化学纤维制造业,行业或细分区域,1105
全省,皮革行业,行业或细分区域,1105
全省,工业,行业或细分区域,1105
福州,序号,索引,1105
福州,日期,索引,1105
福州,合计,行业或细分区域,1105
福州,大工业电量,用电类别,1105
福州,非普工业,用电类别,1105
福州,居民生活,用电类别,1105
福州,非居照明,用电类别,1105
福州,商业用电,用电类别,1105
福州,农业,用电类别,1105
福州,抽水蓄能,用电类别,1105
福州,黑色金属冶炼,行业或细分区域,1105
福州,非金属矿物制品业,行业或细分区域,1105
福州,化学制品制造业,行业或细分区域,1105
福州,纺织业,行业或细分区域,1105
福州,有色金属冶炼,行业或细分区域,1105
福州,通信设备制造业,行业或细分区域,1105
福州,金属制品业,行业或细分区域,1105
福州,橡胶和塑料,行业或细分区域,1105
福州,服饰业,行业或细分区域,1105
福州,造纸和纸制品业,行业或细分区域,1105
福州,机械,行业或细分区域,1105
福州,电子,行业或细分区域,1105
福州,石化,行业或细分区域,1105
福州,食品,行业或细分区域,1105
福州,服装,行业或细分区域,1105
福州,农林牧渔业,行业或细分区域,1105
福州,制造业,行业或细分区域,1105
福州,建筑业,行业或细分区域,1105
福州,交通仓储和邮政业,行业或细分区域,1105
福州,信息传输,行业或细分区域,1105
福州,批发和零售业,行业或细分区域,1105
福州,住宿和餐饮业,行业或细分区域,1105
福州,金融业,行业或细分区域,1105
福州,房地产业,行业或细分区域,1105
福州,租赁和商务服务,行业或细分区域,1105
福州,公共服务及管理组织,行业或细分区域,1105
福州,化学纤维制造业,行业或细分区域,1105
福州,皮革行业,行业或细分区域,1105
福州,本部,行业或细分区域,1105
福州,长乐,行业或细分区域,1105
福州,福清,行业或细分区域,1105
福州,连江,行业或细分区域,1105
福州,罗源,行业或细分区域,1105
福州,闽清,行业或细分区域,1105
福州,永泰,行业或细分区域,1105
福州,闽侯,行业或细分区域,1105
福州,平潭,行业或细分区域,1105
福州,平潭工业,行业或细分区域,1105
厦门,序号,索引,1105
厦门,日期,索引,1105
厦门,合计,行业或细分区域,1105
厦门,大工业电量,用电类别,1105
厦门,非普工业,用电类别,1105
厦门,居民生活,用电类别,1105
厦门,非居照明,用电类别,1105
厦门,商业用电,用电类别,1105
厦门,农业,用电类别,1105
厦门,抽水蓄能,用电类别,1105
厦门,黑色金属冶炼,行业或细分区域,1105
厦门,非金属矿物制品业,行业或细分区域,1105
厦门,化学制品制造业,行业或细分区域,1105
厦门,纺织业,行业或细分区域,1105
厦门,有色金属冶炼,行业或细分区域,1105
厦门,通信设备制造业,行业或细分区域,1105
厦门,金属制品业,行业或细分区域,1105
厦门,橡胶和塑料,行业或细分区域,1105
厦门,服饰业,行业或细分区域,1105
厦门,造纸和纸制品业,行业或细分区域,1105
厦门,机械,行业或细分区域,1105
厦门,电子,行业或细分区域,1105
厦门,石化,行业或细分区域,1105
厦门,食品,行业或细分区域,1105
厦门,服装,行业或细分区域,1105
厦门,农林牧渔业,行业或细分区域,1105
厦门,制造业,行业或细分区域,1105
厦门,建筑业,行业或细分区域,1105
厦门,交通仓储和邮政业,行业或细分区域,1105
厦门,信息传输,行业或细分区域,1105
厦门,批发和零售业,行业或细分区域,1105
厦门,住宿和餐饮业,行业或细分区域,1105
厦门,金融业,行业或细分区域,1105
厦门,房地产业,行业或细分区域,1105
厦门,租赁和商务服务,行业或细分区域,1105
厦门,公共服务及管理组织,行业或细分区域,1105
厦门,化学纤维制造业,行业或细分区域,1105
厦门,皮革行业,行业或细分区域,1105
宁德,序号,索引,1105
宁德,日期,索引,1105
宁德,合计,行业或细分区域,1105
宁德,大工业电量,用电类别,1105
宁德,非普工业,用电类别,1105
宁德,居民生活,用电类别,1105
宁德,非居照明,用电类别,1105
宁德,商业用电,用电类别,1105
宁德,农业,用电类别,1105
宁德,抽水蓄能,用电类别,1105
宁德,黑色金属冶炼,行业或细分区域,1105
宁德,非金属矿物制品业,行业或细分区域,1105
宁德,化学制品制造业,行业或细分区域,1105
宁德,纺织业,行业或细分区域,1105
宁德,有色金属冶炼,行业或细分区域,1105
宁德,通信设备制造业,行业或细分区域,1105
宁德,金属制品业,行业或细分区域,1105
宁德,橡胶和塑料,行业或细分区域,1105
宁德,服饰业,行业或细分区域,1105
宁德,造纸和纸制品业,行业或细分区域,1105
宁德,机械,行业或细分区域,1105
宁德,电子,行业或细分区域,1105
宁德,石化,行业或细分区域,1105
宁德,食品,行业或细分区域,1105
宁德,服装,行业或细分区域,1105
