cause,effect,lag_weeks,controls,ordinary_stability_score,ordinary_min_q,f_stat,p_value,n,df2,q_value_fdr,pass_fdr_05
纺织业,非金属矿物制品业,2,合计;工业;制造业;大工业电量;非普工业;居民生活;商业用电,1.0,5.0857318356634096e-11,26.667019536689704,1.6947054870541933e-10,155,136,6.778821948216773e-09,True
电子,大工业电量,1,合计;工业;制造业;非普工业;居民生活;商业用电,0.75,1.3976740530655514e-06,40.54425706417168,2.3164787865681546e-09,156,147,4.632957573136309e-08,True
电子,制造业,2,合计;工业;大工业电量;非普工业;居民生活;商业用电,1.0,1.0134433292563472e-09,19.943033476318735,2.4652648589196247e-08,155,138,2.540418808649747e-07,True
纺织业,非普工业,2,合计;工业;制造业;大工业电量;居民生活;商业用电,1.0,2.208765467726081e-06,19.904332724455134,2.540418808649747e-08,155,138,2.540418808649747e-07,True
电子,非普工业,2,合计;工业;制造业;大工业电量;居民生活;商业用电,0.75,4.7738558206500414e-06,19.289775514422537,4.099857786599159e-08,155,138,3.2798862292793274e-07,True
纺织业,制造业,1,合计;工业;大工业电量;非普工业;居民生活;商业用电,1.0,1.035722707598552e-08,31.13674312309734,1.1243494901780338e-07,156,147,7.495663267853558e-07,True
电子,工业,2,合计;制造业;大工业电量;非普工业;居民生活;商业用电,0.75,5.8882859445473305e-08,16.832759412522588,2.8742537239168087e-07,155,138,1.5496977107121168e-06,True
纺织业,工业,1,合计;制造业;大工业电量;非普工业;居民生活;商业用电,1.0,3.803744199615266e-08,28.769189447834446,3.0993954214242336e-07,156,147,1.5496977107121168e-06,True
纺织业,大工业电量,1,合计;工业;制造业;非普工业;居民生活;商业用电,1.0,2.27051655277144e-07,25.77384119105839,1.1444471605948081e-06,156,147,5.086431824865814e-06,True
电子,纺织业,2,合计;工业;制造业;大工业电量;非普工业;居民生活;商业用电,1.0,2.0417667556671404e-10,13.006744149732622,6.779005925716675e-06,155,136,2.71160237028667e-05,True
黑色金属冶炼,非金属矿物制品业,2,合计;工业;制造业;大工业电量;非普工业;居民生活;商业用电,1.0,1.0080352347241471e-05,5.193641751650265,0.006705294453161037,155,136,0.02438288892058559,True
黑色金属冶炼,制造业,2,合计;工业;大工业电量;非普工业;居民生活;商业用电,0.75,0.0015096583864572,4.413848135874576,0.01386455750283111,155,138,0.04507612034652394,True
制造业,非金属矿物制品业,2,合计;工业;大工业电量;非普工业;居民生活;商业用电,0.75,9.796544513952408e-05,4.313053339775186,0.01524323175568032,155,138,0.04507612034652394,True
合计,非普工业,2,工业;制造业;大工业电量;居民生活;商业用电,0.5,7.39194943598509e-05,4.274662822595281,0.01577664212128338,155,140,0.04507612034652394,True
黑色金属冶炼,工业,2,合计;制造业;大工业电量;非普工业;居民生活;商业用电,0.75,0.0012476404771157,3.647923967909497,0.028588139918390265,155,138,0.07623503978237404,False
信息传输,纺织业,1,合计;工业;制造业;大工业电量;非普工业;居民生活;商业用电,0.75,6.242740333959618e-05,4.485297052849147,0.035881779277996295,156,146,0.08806131076034537,False
黑色金属冶炼,非普工业,2,合计;工业;制造业;大工业电量;居民生活;商业用电,0.75,0.0010973808470459,3.3097723828312127,0.039445243654751216,155,138,0.08806131076034537,False
信息传输,非金属矿物制品业,2,合计;工业;制造业;大工业电量;非普工业;居民生活;商业用电,0.5,0.0001406670446988,3.3060852716901925,0.03962758984215542,155,136,0.08806131076034537,False
黑色金属冶炼,大工业电量,2,合计;工业;制造业;非普工业;居民生活;商业用电,0.75,0.0019121064233565,3.183163418826034,0.04451530964910855,155,138,0.0937164413665443,False
非普工业,纺织业,1,合计;工业;制造业;大工业电量;居民生活;商业用电,0.75,0.0010208563391614,3.486841910290128,0.06384977034257866,156,147,0.12470307204671058,False
大工业电量,纺织业,1,合计;工业;制造业;非普工业;居民生活;商业用电,1.0,2.935621665756117e-07,3.4443880166343788,0.06546911282452306,156,147,0.12470307204671058,False
商业用电,纺织业,1,合计;工业;制造业;大工业电量;非普工业;居民生活,0.75,0.0004327414891339,2.661424075247045,0.10494921138193336,156,147,0.18843403782991816,False
农业,非普工业,2,合计;工业;制造业;大工业电量;居民生活;商业用电,0.5,4.8857801093507824e-05,2.258569927779331,0.10834957175220294,155,138,0.18843403782991816,False
非金属矿物制品业,纺织业,2,合计;工业;制造业;大工业电量;非普工业;居民生活;商业用电,0.75,3.872612270361397e-06,1.966110076303493,0.14395955379607828,155,136,0.23993258966013045,False
纺织业,电子,2,合计;工业;制造业;大工业电量;非普工业;居民生活;商业用电,1.0,4.6111796048187166e-08,1.8712861786623856,0.15786719675397332,155,136,0.24299951209402,False
制造业,电子,2,合计;工业;大工业电量;非普工业;居民生活;商业用电,0.75,2.935621665756117e-07,1.8703799176905644,0.157949682861113,155,138,0.24299951209402,False
工业,纺织业,1,合计;制造业;大工业电量;非普工业;居民生活;商业用电,1.0,2.27051655277144e-07,1.645096933595821,0.20164635528180785,156,147,0.29435866889025936,False
批发和零售业,纺织业,1,合计;工业;制造业;大工业电量;非普工业;居民生活;商业用电,0.75,0.0002651878068901,1.613285471049014,0.20605106822318153,156,146,0.29435866889025936,False
合计,纺织业,1,工业;制造业;大工业电量;非普工业;居民生活;商业用电,0.75,0.0001528374084846,1.5246191018389976,0.21889187565476453,156,147,0.30191982848933036,False
批发和零售业,非普工业,1,合计;工业;制造业;大工业电量;居民生活;商业用电,0.5,0.0001488089427156,1.276750471756013,0.2603444552549533,156,147,0.3471259403399377,False
交通仓储和邮政业,纺织业,1,合计;工业;制造业;大工业电量;非普工业;居民生活;商业用电,0.5,0.0001406670446988,1.13696258093372,0.2880551551359717,156,146,0.3686082231712363,False
制造业,纺织业,1,合计;工业;大工业电量;非普工业;居民生活;商业用电,1.0,1.3415791552673364e-07,1.1050451693417245,0.2948865785369891,156,147,0.3686082231712363,False
商业用电,非普工业,1,合计;工业;制造业;大工业电量;居民生活,0.5,6.549659034951749e-05,0.8469900205319384,0.3589028857057992,156,148,0.4350338008555142,False
信息传输,非普工业,2,合计;工业;制造业;大工业电量;居民生活;商业用电,0.75,4.7738558206500414e-06,0.8229615745069212,0.44127256697334316,155,138,0.5191441964392273,False
交通仓储和邮政业,非普工业,1,合计;工业;制造业;大工业电量;居民生活;商业用电,0.5,1.0742130618642978e-05,0.19907042274455725,0.6561287366658499,156,147,0.7498614133323999,False
非普工业,电子,3,合计;工业;制造业;大工业电量;居民生活;商业用电,0.5,1.0080352347241471e-05,0.3917974026962952,0.7591056711109287,154,129,0.8287523305125257,False
交通仓储和邮政业,非金属矿物制品业,1,合计;工业;制造业;大工业电量;非普工业;居民生活;商业用电,0.5,0.0001602185954145,0.07137960816985735,0.7897155807448403,156,146,0.8287523305125257,False
黑色金属冶炼,电子,1,合计;工业;制造业;大工业电量;非普工业;居民生活;商业用电,0.75,0.0002651878068901,0.0689517108933773,0.793239407188511,156,146,0.8287523305125257,False
大工业电量,电子,2,合计;工业;制造业;非普工业;居民生活;商业用电,0.75,6.189367365183607e-06,0.2134813020952281,0.8080335222497126,155,138,0.8287523305125257,False
工业,电子,2,合计;制造业;大工业电量;非普工业;居民生活;商业用电,0.75,1.2858277255253151e-06,0.1244334986410405,0.883095939380606,155,138,0.8830959393806059,False
