target,model,mae,rmse,mape,smape,n
制造业,ridge_own_holiday,10344651.647293292,16711001.264209377,0.023867822260896097,0.02408261702900708,101
制造业,ridge_own_weather_holiday,10324934.820147434,16934350.257395394,0.023864082536629312,0.024086503977987096,101
制造业,ridge_own_lags_calendar,10857587.653039588,17663591.4269989,0.025310685232438023,0.025102898061894023,101
制造业,ridge_own_weather,10834053.154645437,17763456.682640523,0.025294822152192763,0.025072328612776206,101
合计,ridge_category_weather_holiday,14361623.9851237,21172553.12289788,0.016962776779524933,0.01703056872177589,101
合计,ridge_own_lags_calendar,16295391.519714445,23911163.13094149,0.019369020944754605,0.01936374654827955,101
合计,ridge_own_weather_holiday,18790711.454983227,24310080.35233329,0.02231724446964108,0.022616199219173922,101
合计,ridge_own_weather,19325671.01692773,25250578.394045617,0.02326953772288824,0.023393728965084015,101
合计,ridge_own_holiday,16884889.974618193,25680342.482500482,0.019885512920793953,0.020056408699737918,101
商业用电,ridge_own_weather_holiday,1974511.7678844333,2379865.3794344026,0.023500544767004396,0.02377253014542184,101
商业用电,ridge_own_weather,2091795.7473036842,2523054.5908334,0.025453101175234184,0.025744899177147368,101
商业用电,ridge_own_lags_calendar,2214075.680087449,3298352.2220742977,0.0258971175308585,0.025548089989730922,101
商业用电,ridge_own_holiday,2551695.3033270203,3815441.7770303134,0.029414744687305896,0.029112474805690004,101
大工业电量,ridge_own_holiday,10228700.934004653,14932018.780222826,0.023773577958502504,0.023820810515886394,101
大工业电量,ridge_own_weather_holiday,10274514.432997132,15102293.165187642,0.023907648876821008,0.023950950334045096,101
大工业电量,ridge_own_lags_calendar,11020748.612033656,16594109.146041019,0.0257289264278544,0.025553690800084822,101
大工业电量,ridge_own_weather,11058236.052396826,16681226.48232041,0.025836026865726974,0.02565535073663972,101
居民生活,ridge_own_weather,4411907.078402372,6239164.37070994,0.023994501893353712,0.024285063513123307,101
居民生活,ridge_own_weather_holiday,4735996.149673697,7106029.748211988,0.024878335212371417,0.02520530112769275,101
居民生活,ridge_own_lags_calendar,4994686.920248288,8141312.918797839,0.026901076820210187,0.026485714000545828,101
居民生活,ridge_own_holiday,5872784.494520692,9726522.558988264,0.030506437519096475,0.03018900712276102,101
工业,ridge_own_holiday,12346842.310179312,18271461.215632293,0.02589563657350282,0.026075993765848265,101
工业,ridge_own_weather_holiday,12353568.49351349,18372609.571137913,0.025955324502743394,0.026117184004354525,101
工业,ridge_own_lags_calendar,13083710.89059316,19868074.70466363,0.027649636663543233,0.027467235726337295,101
工业,ridge_own_weather,13109389.128518676,19948461.48369232,0.027736622678727212,0.02754040931974904,101
