target,model,causes,mae,rmse,mape,smape,n
制造业,ridge_with_granger_causes,电子;纺织业;信息传输,9594875.732282871,16715244.249248805,0.022526052468257243,0.022018623259865977,101
制造业,ridge_own_lags_calendar,电子;纺织业;信息传输,10857587.653039588,17663591.4269989,0.025310685232438023,0.025102898061894023,101
合计,ridge_own_lags_calendar,纺织业;信息传输,16295391.519714445,23911163.13094149,0.019369020944754605,0.01936374654827955,101
合计,ridge_with_granger_causes,纺织业;信息传输,17700771.42784496,26291257.425915916,0.02109326030593596,0.021089422633441355,101
商业用电,ridge_own_lags_calendar,合计;非普工业,2214075.680087449,3298352.2220742977,0.0258971175308585,0.025548089989730922,101
商业用电,ridge_with_granger_causes,合计;非普工业,2243144.0183750186,3428490.7898601755,0.026490322193258656,0.025923947149073038,101
大工业电量,ridge_own_lags_calendar,纺织业;电子;黑色金属冶炼,11020748.612033656,16594109.146041019,0.0257289264278544,0.025553690800084822,101
大工业电量,ridge_with_granger_causes,纺织业;电子;黑色金属冶炼,11606743.969163684,16769224.998444088,0.027267867746498812,0.026612773617664506,101
工业,ridge_with_granger_causes,纺织业;电子;黑色金属冶炼,12278091.228424747,18632949.12284413,0.026043340169171876,0.025505562602868365,101
工业,ridge_own_lags_calendar,纺织业;电子;黑色金属冶炼,13083710.89059316,19868074.70466363,0.027649636663543233,0.027467235726337295,101
电子,ridge_own_lags_calendar,纺织业;制造业;工业,846766.4394439709,1402083.2437421142,0.024587959408127805,0.02438938098621068,101
电子,ridge_with_granger_causes,纺织业;制造业;工业,808014.5413558687,1402740.4375690743,0.02375205044956683,0.023168757764968365,101
纺织业,ridge_with_granger_causes,电子;制造业;工业,822325.4105005539,1121040.6040436882,0.023159967426827282,0.023186083582383377,101
纺织业,ridge_own_lags_calendar,电子;制造业;工业,828377.961011136,1127905.34110881,0.023337347045386026,0.023284463156519285,101
非金属矿物制品业,ridge_with_granger_causes,纺织业;黑色金属冶炼;信息传输,875868.3521702157,1290795.7852661302,0.022548871560477114,0.022362133597127482,101
非金属矿物制品业,ridge_own_lags_calendar,纺织业;黑色金属冶炼;信息传输,868214.8564401747,1306267.346392511,0.022399670954617732,0.022301589315311753,101
