city,model,mae,rmse,mape,smape,n
三明,naive_yesterday,676752.4554455446,836095.6742807075,0.015412213750101657,0.015422520516593624,101
三明,ridge_own_lags_calendar,673622.8749329204,863379.662084982,0.015253074760077192,0.015330635686638134,101
三明,rolling7,965446.0509193775,1232774.7013437666,0.02185914460605719,0.02185391066842339,101
三明,seasonal_week,1343488.712871287,1720717.9641664892,0.030388817216805412,0.030352217325512496,101
南平,naive_yesterday,714654.603960396,1085513.9570962149,0.01804804188637161,0.017950986831149634,101
南平,ridge_own_lags_calendar,784468.0647447882,1102233.2072540876,0.01961979888540075,0.019606249521412607,101
南平,rolling7,1200289.1584158419,1725824.7309822964,0.030728386253897705,0.030295598780222793,101
南平,seasonal_week,1792793.5445544554,2614764.8674701704,0.045950317389784494,0.04506114327186012,101
厦门,ridge_own_lags_calendar,3485545.8527097045,5253263.791088592,0.030635515235488738,0.030564050487288844,101
厦门,naive_yesterday,4328834.475247525,6039021.820978752,0.03959308825055858,0.03921667539416509,101
厦门,rolling7,6513775.2659123065,9985429.687180387,0.058157018817804204,0.056361507393191006,101
厦门,seasonal_week,9300181.287128713,14832148.595567405,0.08097153252338027,0.07782279234189134,101
宁德,ridge_own_lags_calendar,2267062.399582699,2904574.170716111,0.021987520816715306,0.02208423625125286,101
宁德,naive_yesterday,2313971.5544554456,2909938.7364923004,0.022610491840415095,0.022561873218254105,101
宁德,rolling7,3025540.134370581,3990978.9949456896,0.02983781086225049,0.029552594891515092,101
宁德,seasonal_week,4524112.049504951,6149183.231644047,0.04475620573747155,0.044168543136324734,101
泉州,ridge_own_lags_calendar,4194539.458375512,6459465.002550712,0.024676236941004723,0.02456325690981442,101
泉州,naive_yesterday,4166295.0693069305,6773887.000620881,0.024882145687992543,0.024617207545795626,101
泉州,rolling7,6259300.199434231,9436768.046112185,0.03697487717014478,0.036048851652836195,101
泉州,seasonal_week,8990783.02970297,14057611.081558302,0.05239977943392534,0.05109128605947221,101
漳州,ridge_own_lags_calendar,1808833.7655285418,2577361.986945398,0.018998816692326382,0.019008318996529248,101
漳州,naive_yesterday,1957640.297029703,2718436.426832036,0.020968612816147616,0.02088321335982643,101
漳州,rolling7,2760282.8472418673,4061877.5930883177,0.029481452938219535,0.02898407741420066,101
漳州,seasonal_week,3950029.910891089,6225158.5920961015,0.04204785174373792,0.04093571631759319,101
福州,ridge_own_lags_calendar,3532217.7770438665,5115773.00938111,0.01905859520985827,0.019034408985294054,101
福州,naive_yesterday,3546033.831683168,5141188.473347136,0.019440029501140457,0.01931214626796599,101
福州,rolling7,5545173.431400282,9302560.08673824,0.030757951168123507,0.02982432307981027,101
福州,seasonal_week,8403147.128712872,14492431.756682802,0.046833253487351796,0.04454386540372046,101
莆田,ridge_own_lags_calendar,1976179.9894582648,2716257.9077354446,0.0465606795842469,0.04611755969186755,101
莆田,naive_yesterday,2054966.6534653464,2805418.9414320886,0.04881844212504638,0.04821593276628538,101
莆田,rolling7,2362667.776520509,3534994.8761337954,0.05799135667303408,0.05582376221844936,101
莆田,seasonal_week,3666471.8415841586,5395412.847725138,0.08988189492110739,0.08496406613406735,101
龙岩,ridge_own_lags_calendar,714965.5583755026,954913.3599270894,0.017416092784753007,0.017435978848759946,101
龙岩,naive_yesterday,749249.6633663366,989839.5247547018,0.018314173794033644,0.018317598787573337,101
龙岩,rolling7,986260.76096181,1294454.9192883465,0.0238239314832527,0.023855945932355405,101
龙岩,seasonal_week,1390167.1584158416,1887405.7036466985,0.033504230539066954,0.03362407701170691,101
