group,target,model,mae,rmse,mape,smape,n
city,龙岩,direct_context_weather_holiday,1194977.3190516385,1476099.6539209753,0.029061057352800138,0.028890041338753836,3030
city,三明,direct_context_weather_holiday,1399857.0313906104,1744883.594519904,0.03146491557471872,0.031883452846682585,3030
city,漳州,direct_own_weather_holiday,3304749.6494211643,4128099.5790310907,0.03444496900912885,0.03525549893169669,3030
city,泉州,direct_context_weather_holiday,7347980.687476666,9199710.82834918,0.04346177665508583,0.04302639500381071,3030
city,福州,direct_context_weather_holiday,9055962.370941592,10922978.83427173,0.04916429179073953,0.05007486379273112,3030
city,厦门,direct_context_weather_holiday,5556179.403552666,6885998.21807133,0.049533125917268384,0.04948822610872932,3030
city,南平,direct_context_weather_holiday,2069674.4452398564,2654586.7937640473,0.05229753681050468,0.05255868776500583,3030
city,宁德,direct_context_weather_holiday,6279138.445848915,7375897.983577879,0.060906661444730295,0.061691236854500626,3030
city,莆田,direct_context_weather_holiday,3041212.4782103826,3802712.7732811924,0.07220568504844134,0.0705316202471218,3030
key_variable,合计,direct_context_weather_holiday,28769442.944079805,37387665.83489601,0.03398311239994817,0.03411169996790324,3030
key_variable,大工业电量,direct_context_weather_holiday,16454220.429382928,20783626.66041847,0.03767603943157133,0.037434631412688255,3030
key_variable,工业,direct_context_weather_holiday,18763069.231295504,24638194.219667014,0.038268841572020734,0.03880706262011439,3030
key_variable,制造业,direct_context_weather_holiday,17449591.61388066,23293220.90143843,0.03892316184917141,0.03974995587319946,3030
key_variable,商业用电,direct_context_weather_holiday,3268505.5335752885,3986550.4944782993,0.04011154072923847,0.03931441547783392,3030
key_variable,非普工业,direct_own_weather_holiday,2443685.739682185,3488317.429017124,0.043330760250159694,0.0439082283431345,3030
key_variable,居民生活,direct_context_weather_holiday,13158730.862374527,16655732.097597478,0.07245733166628182,0.07075365571623289,3030
