group,target,horizon,model,mae,rmse,mape,smape,n
key_variable,制造业,1,direct_context_weather_holiday,13853741.851896007,22503372.167700365,0.031875500296500936,0.032110308625085696,101
key_variable,制造业,2,direct_context_weather_holiday,16461990.512912156,24756285.358636387,0.03744131881037231,0.037843208946720344,101
key_variable,制造业,3,direct_context_weather_holiday,18298939.267467003,26508982.528945595,0.04134914458445595,0.04199368967047331,101
key_variable,制造业,4,direct_context_weather_holiday,18244515.469809175,26872776.12523768,0.0409870005070262,0.04175857922146276,101
key_variable,制造业,5,direct_context_weather_holiday,17659747.19699813,25899102.81232858,0.03947764805743563,0.04029239544370748,101
key_variable,制造业,6,direct_context_weather_holiday,17205379.677962583,24444302.114847876,0.03826608919754151,0.0390819393784573,101
key_variable,制造业,7,direct_context_weather_holiday,16644075.602932425,22501314.844423376,0.036982272624610846,0.037560390968081926,101
key_variable,制造业,8,direct_context_weather_holiday,16511238.266891018,21609399.351657577,0.03670597646304651,0.03717851795084334,101
key_variable,制造业,9,direct_context_weather_holiday,16629088.229757272,21641531.66618575,0.03692414299920667,0.03741160233126918,101
key_variable,制造业,10,direct_context_weather_holiday,16576278.47464391,22026607.793235242,0.036790836910039114,0.03732726656674007,101
key_variable,制造业,11,direct_context_weather_holiday,16220816.476666654,21697514.86619228,0.036220046765130354,0.03665266326926758,101
key_variable,制造业,12,direct_context_weather_holiday,16224800.137469906,21830358.381666973,0.03624309406528843,0.03672598587954647,101
key_variable,制造业,13,direct_context_weather_holiday,15583726.052301869,21027290.59371466,0.034671386171309805,0.0352735337769219,101
key_variable,制造业,14,direct_context_weather_holiday,14908107.427667588,19922301.698503375,0.03303260522703494,0.033721344031178414,101
key_variable,制造业,15,direct_context_weather_holiday,15580874.759854732,20443004.899043817,0.03452319954910456,0.03532145432214112,101
key_variable,制造业,16,direct_context_weather_holiday,16896920.6652828,21448344.08501538,0.03753530266404342,0.038409895397071625,101
key_variable,制造业,17,direct_context_weather_holiday,18412106.612451266,22434866.978834506,0.041009960263571676,0.041892790649036935,101
key_variable,制造业,18,direct_context_weather_holiday,18368007.323353324,22769685.902748335,0.041003722589389405,0.04185938311240227,101
key_variable,制造业,19,direct_context_weather_holiday,17623112.328257024,22252913.54006991,0.03930568390726944,0.040147999146039566,101
key_variable,制造业,20,direct_context_weather_holiday,17332553.87783685,22211175.992756985,0.038607974411566784,0.03952144544579973,101
key_variable,制造业,21,direct_context_weather_holiday,17777414.973836403,22615653.085675105,0.039524621434495165,0.04052432037711805,101
key_variable,制造业,22,direct_context_weather_holiday,17771780.08091962,22713579.336252145,0.03948934832390373,0.040497481016222116,101
key_variable,制造业,23,direct_context_weather_holiday,17918282.631485112,22948947.95920595,0.03993289601937042,0.04092972786279326,101
key_variable,制造业,24,direct_context_weather_holiday,19246747.97119192,24312471.1964039,0.04293963264399805,0.043998882150608216,101
key_variable,制造业,25,direct_context_weather_holiday,19681266.79881458,24794960.30712361,0.04389391678828585,0.044950330226357735,101
key_variable,制造业,26,direct_context_weather_holiday,19880459.886204094,25015649.42612682,0.04425098320306333,0.045393125420935806,101
key_variable,制造业,27,direct_context_weather_holiday,19081765.632930506,24868099.142067447,0.04242604003655315,0.043649342122802005,101
key_variable,制造业,28,direct_context_weather_holiday,18673699.079215664,24499313.812592607,0.0415640428933729,0.04281399939755915,101
key_variable,制造业,29,direct_context_weather_holiday,18807151.842961624,24810043.45769899,0.041757981093830984,0.04316967775251521,101
key_variable,制造业,30,direct_context_weather_holiday,19413159.306448635,25366547.626025584,0.04296248697432424,0.044487395736825294,101
key_variable,制造业,1,direct_own_weather_holiday,15195940.366269322,22429432.644351467,0.03461908865184305,0.03514862358497681,101
key_variable,制造业,2,direct_own_weather_holiday,18862223.45634358,25093258.459912006,0.04250266892018325,0.043400701474633804,101
key_variable,制造业,3,direct_own_weather_holiday,21819160.809571456,27882744.932602156,0.04883444426615806,0.050288469514069484,101
key_variable,制造业,4,direct_own_weather_holiday,23220420.625963178,29511708.40889611,0.051627775635384385,0.05352818939389913,101
key_variable,制造业,5,direct_own_weather_holiday,23834704.68280714,30351425.860703647,0.05260826809023962,0.05478664141870963,101
key_variable,制造业,6,direct_own_weather_holiday,24467057.395133268,30528032.82444335,0.05380597533636688,0.056036685333712984,101
key_variable,制造业,7,direct_own_weather_holiday,24757689.39535054,29803734.514612902,0.05436827043127862,0.05645153882362528,101
key_variable,制造业,8,direct_own_weather_holiday,24856521.288955454,29237027.08474347,0.054523934922232,0.05653113475353741,101
key_variable,制造业,9,direct_own_weather_holiday,25189485.169851586,29604452.385175887,0.055230722085353935,0.057314051428041086,101
key_variable,制造业,10,direct_own_weather_holiday,25777392.79324678,30442757.14811683,0.056587554906262334,0.05879638789252656,101
key_variable,制造业,11,direct_own_weather_holiday,26513895.522791173,31129833.37678955,0.05823712657273907,0.060537407433354375,101
key_variable,制造业,12,direct_own_weather_holiday,27179082.64143327,31686363.019087516,0.059706130800150685,0.062099087843931935,101
key_variable,制造业,13,direct_own_weather_holiday,28006867.777405053,32304435.41788264,0.06145316221139054,0.06397267039431274,101
key_variable,制造业,14,direct_own_weather_holiday,29033283.870640963,33137362.753816128,0.06370495186000881,0.06639359542742249,101
key_variable,制造业,15,direct_own_weather_holiday,30295426.95001793,34164044.35809162,0.06656678181501464,0.06944808823022729,101
key_variable,制造业,16,direct_own_weather_holiday,31555409.019488104,35252685.03412117,0.06946167190780728,0.07255754448813675,101
key_variable,制造业,17,direct_own_weather_holiday,32807453.26698052,36259347.680637546,0.07233200903554611,0.07561251755430454,101
key_variable,制造业,18,direct_own_weather_holiday,33896265.781133465,37292802.77688841,0.0747848061256827,0.07828005197562603,101
key_variable,制造业,19,direct_own_weather_holiday,34760184.31884837,38124076.15580647,0.07674594375014654,0.08044059249680803,101
key_variable,制造业,20,direct_own_weather_holiday,35437620.723731786,39187994.87693727,0.07817814275564974,0.08211516756254807,101
