group,target,model,mae,rmse,mape,smape,n
city,三明,direct_context_weather_holiday,1399857.0313906104,1744883.594519904,0.03146491557471872,0.031883452846682585,3030
city,三明,direct_own_weather_holiday,2009841.2238222356,2444465.2847815244,0.04476727533133246,0.04626174565993324,3030
city,南平,direct_context_weather_holiday,2069674.4452398564,2654586.7937640473,0.05229753681050468,0.05255868776500583,3030
city,南平,direct_own_weather_holiday,2534030.365206073,3070886.752808834,0.062215782672192986,0.06467040751858727,3030
city,厦门,direct_context_weather_holiday,5556179.403552666,6885998.21807133,0.049533125917268384,0.04948822610872932,3030
city,厦门,direct_own_weather_holiday,5897822.108393516,7953224.363382738,0.05030452384968255,0.052206001712064944,3030
city,宁德,direct_context_weather_holiday,6279138.445848915,7375897.983577879,0.060906661444730295,0.061691236854500626,3030
city,宁德,direct_own_weather_holiday,6544313.477027296,8417978.38694097,0.06165637838351959,0.06461135802073391,3030
city,泉州,direct_context_weather_holiday,7347980.687476666,9199710.82834918,0.04346177665508583,0.04302639500381071,3030
city,泉州,direct_own_weather_holiday,10431566.967866486,12579618.16908752,0.05949472152171788,0.06188234684138601,3030
city,漳州,direct_own_weather_holiday,3304749.6494211643,4128099.5790310907,0.03444496900912885,0.03525549893169669,3030
city,漳州,direct_context_weather_holiday,3626533.669383113,4439260.982622716,0.03925127411474067,0.038918875568084044,3030
city,福州,direct_context_weather_holiday,9055962.370941592,10922978.83427173,0.04916429179073953,0.05007486379273112,3030
city,福州,direct_own_weather_holiday,10565256.673498359,12838769.504976591,0.056425952986798596,0.05856543084100255,3030
city,莆田,direct_context_weather_holiday,3041212.4782103826,3802712.7732811924,0.07220568504844134,0.0705316202471218,3030
city,莆田,direct_own_weather_holiday,3069181.5172258466,4089612.9447056325,0.06746254176439728,0.06996692786985545,3030
city,龙岩,direct_context_weather_holiday,1194977.3190516385,1476099.6539209753,0.029061057352800138,0.028890041338753836,3030
city,龙岩,direct_own_weather_holiday,1195436.012869058,1599810.8372368494,0.028570952531061757,0.029188467055497935,3030
key_variable,制造业,direct_context_weather_holiday,17449591.61388066,23293220.90143843,0.03892316184917141,0.03974995587319946,3030
key_variable,制造业,direct_own_weather_holiday,30630232.028503943,35559245.07247796,0.06756461888281155,0.07066498699590731,3030
key_variable,合计,direct_context_weather_holiday,28769442.944079805,37387665.83489601,0.03398311239994817,0.03411169996790324,3030
key_variable,合计,direct_own_weather_holiday,43765282.9204489,53974095.849572696,0.05118247754663971,0.05307194354863706,3030
key_variable,商业用电,direct_context_weather_holiday,3268505.5335752885,3986550.4944782993,0.04011154072923847,0.03931441547783392,3030
key_variable,商业用电,direct_own_weather_holiday,3244594.649642889,4106829.2204140765,0.03729329151900868,0.03797606249295565,3030
key_variable,大工业电量,direct_context_weather_holiday,16454220.429382928,20783626.66041847,0.03767603943157133,0.037434631412688255,3030
key_variable,大工业电量,direct_own_weather_holiday,15406443.885096313,20857926.78941697,0.03461760640869294,0.03546579993239536,3030
key_variable,居民生活,direct_context_weather_holiday,13158730.862374527,16655732.097597478,0.07245733166628182,0.07075365571623289,3030
key_variable,居民生活,direct_own_weather_holiday,11231936.914353238,16900572.484994493,0.05628870687042182,0.05798125535670428,3030
key_variable,工业,direct_context_weather_holiday,18763069.231295504,24638194.219667014,0.038268841572020734,0.03880706262011439,3030
key_variable,工业,direct_own_weather_holiday,30302528.61064404,36114150.94716369,0.061261175523424534,0.0639181869283548,3030
key_variable,非普工业,direct_own_weather_holiday,2443685.739682185,3488317.429017124,0.043330760250159694,0.0439082283431345,3030
key_variable,非普工业,direct_context_weather_holiday,2742083.740709598,3825575.368249176,0.048848391796832084,0.048966446506315764,3030
