horizon,model,mae,rmse,mape,smape,n
1,direct_category_weather_holiday,19520733.999911472,28612334.56650102,0.02303196680671583,0.02314758095995327,101
2,direct_category_weather_holiday,23322468.64115632,32301765.536753614,0.027505495929219026,0.02763513415972339,101
3,direct_category_weather_holiday,25520838.80447622,35471713.50232482,0.030140874188977228,0.03030006663645723,101
4,direct_category_weather_holiday,27415837.938092243,38022589.25692728,0.032414168046637666,0.0325088094465382,101
5,direct_category_weather_holiday,28870157.011064682,39892825.9458211,0.034152834582714474,0.03421970827246114,101
6,direct_category_weather_holiday,30810131.475853484,41535237.08239779,0.03636653937037651,0.03646625934826579,101
7,direct_category_weather_holiday,31115525.999522965,40466104.71929997,0.03681687726457849,0.03677444638007361,101
8,direct_category_weather_holiday,31118472.994436406,40301125.42533433,0.03679248870887729,0.036735027285289504,101
9,direct_category_weather_holiday,31121338.02998929,40389212.43326961,0.03663698294095192,0.036706323488708385,101
10,direct_category_weather_holiday,30878658.370101012,40256027.67079523,0.03629492592578044,0.03643101116332481,101
11,direct_category_weather_holiday,30172782.83505828,39795752.48817069,0.03546250542223864,0.03559869551829425,101
12,direct_category_weather_holiday,29729421.757922832,39775810.764493205,0.03488793250295837,0.03505423929273348,101
13,direct_category_weather_holiday,29126758.796226066,38686644.52838542,0.03417780004268208,0.03435518328054027,101
14,direct_category_weather_holiday,28215304.37302173,36879339.47033681,0.03315843939469836,0.03329859536957484,101
15,direct_category_weather_holiday,28643984.09582605,37249638.9828403,0.033711333078501896,0.03384542276124411,101
16,direct_category_weather_holiday,29268300.26642316,37775283.30182297,0.03444569550829926,0.03462699067599284,101
17,direct_category_weather_holiday,28873283.321633942,36987747.91596662,0.03401941998793151,0.03417989213222559,101
18,direct_category_weather_holiday,28805125.178880315,36213488.03453663,0.03410152508161964,0.03419650185076413,101
19,direct_category_weather_holiday,28813062.382907797,35877502.90389196,0.03421745096775198,0.03426074822520192,101
20,direct_category_weather_holiday,28596441.488220282,35637401.02237027,0.03393359143647839,0.03399680104500764,101
21,direct_category_weather_holiday,28670018.203491747,36111367.68825648,0.03397209696860184,0.034043497127569204,101
22,direct_category_weather_holiday,28457675.711755954,36298002.674814716,0.03365819483666846,0.033759544089268165,101
23,direct_category_weather_holiday,28448025.267971653,36241419.22809536,0.033597296769435,0.033766447636255616,101
24,direct_category_weather_holiday,29335430.78990218,36977503.82068049,0.03471642671260886,0.03488478327959627,101
25,direct_category_weather_holiday,30153132.01689,37526748.702365406,0.035793910815917075,0.03590980540958261,101
26,direct_category_weather_holiday,30010206.21141066,36948103.223750144,0.03565073549398257,0.03581155226927771,101
27,direct_category_weather_holiday,30003034.85869914,36561036.20715499,0.03563955825506291,0.03584550249428299,101
28,direct_category_weather_holiday,29152980.593309727,36246916.24853191,0.03459299300234826,0.03479997321762341,101
29,direct_category_weather_holiday,28842782.493605476,36463078.66438062,0.034130648286949845,0.03439463274181615,101
30,direct_category_weather_holiday,30071374.414633434,37540495.397469886,0.035472663668881584,0.03579782347945073,101
1,direct_own_calendar,25358664.968097676,39308218.67307784,0.029620668519171854,0.030043945049656236,101
2,direct_own_calendar,32745001.953264896,48387782.85732078,0.03832390154919717,0.03893425116773616,101
3,direct_own_calendar,38810002.44338187,56098144.03886717,0.04537736605403009,0.04627254568614776,101
4,direct_own_calendar,43100509.81833444,61831664.990117274,0.050283975933805944,0.05146257884117833,101
5,direct_own_calendar,46632633.5971816,66234303.62913739,0.054298330156517347,0.0556936355256358,101
6,direct_own_calendar,49733596.4191705,69868522.38432702,0.057809822334246475,0.05933748568221202,101
7,direct_own_calendar,52079313.152394965,72454751.7132513,0.06045982755130092,0.06206962866928238,101
8,direct_own_calendar,54197390.43704968,75215287.37630302,0.06283086749038022,0.06462346279640852,101
9,direct_own_calendar,55536623.41383794,77794996.8079348,0.06426102359294932,0.06630182086904715,101
10,direct_own_calendar,56004146.76544128,79404316.9341046,0.06468343669728471,0.0669337292158719,101
11,direct_own_calendar,56639890.330215484,79786532.51926662,0.06546116500548901,0.06777672007732831,101
12,direct_own_calendar,57290101.54990119,80165308.01631708,0.0662904464565065,0.06863482199914409,101
13,direct_own_calendar,57741424.830335155,80670193.45012487,0.06681770213935039,0.06924379762823202,101
14,direct_own_calendar,58319109.98192445,81328286.27026725,0.06744975387565125,0.06999261076044697,101
15,direct_own_calendar,58569069.736540996,81238631.00879227,0.0677650942460673,0.07031441814224891,101
16,direct_own_calendar,58546180.91141447,80505363.6202707,0.06780082287318395,0.07030859087304445,101
17,direct_own_calendar,58416602.07720215,79266886.78737812,0.0677386945475733,0.07020330924900081,101
18,direct_own_calendar,57896846.75751125,77816757.97128719,0.06717300545961347,0.06968751648108178,101
19,direct_own_calendar,56896032.60903103,76997511.9612994,0.06594128239896589,0.06860138993564306,101
20,direct_own_calendar,56474726.78916921,77049800.61303346,0.06532915734133378,0.06815323078740096,101
21,direct_own_calendar,55869533.17043442,77173450.98624887,0.06450343012901387,0.06743279336814449,101
22,direct_own_calendar,54769132.49112693,76320781.33509806,0.06310425674878659,0.06602400807787685,101
23,direct_own_calendar,54410806.24357832,75807877.04035263,0.06266787250661676,0.0655995212406489,101
24,direct_own_calendar,54411825.46259181,75395994.49826422,0.06269505981372037,0.06567337811453205,101
25,direct_own_calendar,54775926.78140605,75157684.8673103,0.06320973937089994,0.06622098667855543,101
26,direct_own_calendar,55504959.66408121,75474623.43621278,0.06418375525890792,0.06726749676899652,101
27,direct_own_calendar,56225321.54188502,76290059.52190605,0.06509081294979344,0.0682998603687524,101
28,direct_own_calendar,57125044.730614275,77519615.36677733,0.0661221047810664,0.06950565319424384,101
29,direct_own_calendar,57593762.54291644,78668641.18680352,0.06657736902067612,0.07009197606508423,101
30,direct_own_calendar,57701905.54429662,79401426.97233441,0.06664665391720236,0.0702115268776129,101
1,direct_own_weather_holiday,27377567.484003767,33866676.02176357,0.032462981714949435,0.03312789090994012,101
2,direct_own_weather_holiday,32556622.069130648,39169684.62108895,0.03857511679576143,0.03951186549625214,101
3,direct_own_weather_holiday,35688109.78594883,43401224.16780836,0.0421908512425499,0.043369557741415994,101
4,direct_own_weather_holiday,38115693.95685253,46631883.569758065,0.04485153739291994,0.04620509628622502,101
5,direct_own_weather_holiday,39577892.18972457,48825904.306871325,0.04636505187622265,0.04785159459592766,101
6,direct_own_weather_holiday,40315631.9590236,49981605.50521948,0.04704815492260901,0.04860111650536664,101
7,direct_own_weather_holiday,40474951.08580903,50519382.86321986,0.047062093965625426,0.04863770169670492,101
8,direct_own_weather_holiday,40604261.02367632,51579587.06059581,0.047032531284935786,0.048665908111215614,101
9,direct_own_weather_holiday,40964907.56932982,53129906.33096829,0.04731221962795954,0.049051933197797756,101
10,direct_own_weather_holiday,41330096.7420934,54246610.875056975,0.04769386565536704,0.04951665522545878,101
11,direct_own_weather_holiday,41636527.63818968,54597013.23301714,0.048069630164953615,0.04993375992546271,101
12,direct_own_weather_holiday,41912552.65191968,54868613.21930803,0.048427351191953114,0.0503167752207647,101
13,direct_own_weather_holiday,42380747.73933456,55396500.18471035,0.04902098121244041,0.050946655828165675,101
14,direct_own_weather_holiday,43503928.52378337,56311292.40708622,0.05038759025727443,0.05238379469848276,101
15,direct_own_weather_holiday,44340726.47958228,56853771.02291237,0.05142369538295287,0.05346656083052178,101
16,direct_own_weather_holiday,45226712.579274766,57006882.10498013,0.052560975550842756,0.05463101942681306,101
17,direct_own_weather_holiday,45992349.55326902,56868260.25506696,0.05359443525692154,0.055680620288609074,101
18,direct_own_weather_holiday,46166715.5185413,56513574.24104886,0.05390869310465444,0.056000123140818175,101
19,direct_own_weather_holiday,46247304.84139793,55918921.35614107,0.054093501600925055,0.056161668026640514,101
