horizon,is_public_holiday,mae,rmse,mape,smape,n
1,0,15289115.367419286,20143746.585636765,0.01849612343860235,0.018458396368841,90
1,1,54143068.265756615,64783476.59586198,0.06014341254582616,0.06151363670541721,11
2,0,19880406.52285671,26998424.822811026,0.0240034766909127,0.0239854312924084,90
2,1,51484795.06360765,60137316.257925786,0.056158380606270805,0.05749633943775518,11
3,0,22572373.297103196,29894928.127548926,0.02727069260275416,0.02719102170093659,90
3,1,49644647.501164585,65121482.868052,0.053624178076256836,0.05573770701798979,11
4,0,25199969.024812635,32893254.98170745,0.030424816266764177,0.030233816603191827,90
4,1,45545674.50128899,66497085.771862775,0.048690682609238894,0.05112238725573584,11
5,0,26679740.510025114,34185122.84474882,0.03225144622916456,0.03198773236584159,90
5,1,46791746.56502474,71069209.2926774,0.04970964838448648,0.05248132932662106,11
6,0,28212826.600613818,35668710.35552887,0.034003409374694434,0.033751640547566394,90
6,1,52060807.727814324,73694484.19608366,0.05570123933504803,0.05867677680853361,11
7,0,29341208.968146686,37138210.66035014,0.03533706176138392,0.03503948968064681,90
7,1,45632665.347147055,61241597.977904096,0.04892445865435231,0.050969546648111104,11
8,0,29195698.750447866,36973161.17053644,0.035148309338228066,0.03483711905884593,90
8,1,46850262.263433605,61059533.944399275,0.05024486537782546,0.052263367319827836,11
9,0,28504973.39490668,35833713.69638137,0.03422913927465545,0.034005849684211456,90
9,1,52527957.77157425,66875177.63733567,0.05633752202883216,0.058801109161865116,11
10,0,27910335.624653265,34598682.07836946,0.033515191050012445,0.03332312784336938,90
10,1,55164935.37830978,71311819.75636515,0.059038211272973,0.06185914741750562,11
11,0,27288680.363474347,33991626.66974068,0.032782326102194906,0.03258916280300815,90
11,1,53769984.875290416,71328390.36783063,0.05739124531350554,0.06022214500699873,11
12,0,26793663.806391887,34027684.96049377,0.032118876877910756,0.03196428974199084,90
12,1,53749259.54317594,71085177.06366254,0.05754384216243886,0.060335644707900545,11
13,0,26528493.817216355,33550586.751617774,0.03177803251583473,0.031668245399796194,90
13,1,50385290.44266913,67321842.00973864,0.05381226162597863,0.05633922048662816,11
14,0,25958593.336807337,32448399.40613737,0.031112439240635795,0.031006306852375203,90
14,1,46679303.760230444,62236920.8565748,0.04989844065521032,0.05205368323757196,11
15,0,26261535.70238206,32376183.8976645,0.031535559568858465,0.03140186154859578,90
15,1,48136743.67854957,64527330.713962846,0.05151311633922091,0.053838196319275895,11
16,0,26517334.84835597,32425675.38044956,0.03184802712931782,0.031742891611205915,90
16,1,51776199.1415184,67079313.11839005,0.055699345881783845,0.05822416484243129,11
17,0,26173893.006842993,31919097.170640077,0.031475893120376526,0.03136416156756144,90
17,1,50959204.07901442,65005492.291327156,0.05483009435883604,0.05721768766129586,11
18,0,26407578.18870838,31455308.658693966,0.03191249326274715,0.0317505710352142,90
18,1,48421418.73483253,62815609.25377085,0.05201178541784914,0.05420866306889995,11
19,0,26643010.310878593,31184222.43795446,0.03232684961306283,0.03211189954860706,90
19,1,46568033.88132854,62147698.75145114,0.04968600750611778,0.05184223739734172,11
20,0,26629334.601685937,31207543.000334404,0.03225888129401497,0.03207717208112991,90
20,1,44690952.3780467,60768183.140340894,0.04763576532936089,0.049702856204007224,11
21,0,26603817.44432213,31468801.60642245,0.0321588832869703,0.03197325046409497,90
21,1,45575297.14215229,62217671.99917636,0.04880748163649633,0.050981878919631136,11
22,0,26410521.835410178,31794806.80989529,0.03185007255062332,0.031700504587898234,90
22,1,45207116.51822143,61857731.352747686,0.048451922631583266,0.05060623091865854,11
23,0,26594951.860927623,32070254.01373787,0.03199131429194321,0.03192694493844217,90
23,1,43609534.96196823,60371862.73332992,0.04673715340345876,0.04881692425472927,11
24,0,27528959.184957307,33303745.063820057,0.033120047975349225,0.03306682392426954,90
24,1,44115653.01217841,58990265.37166942,0.04777770729018777,0.04975899618681507,11
25,0,28949917.79119185,34825273.64762253,0.0349011430393296,0.03481970698619104,90
25,1,39997612.04532945,54840240.75634902,0.0430983744425419,0.044828792510059064,11
26,0,28773317.284749247,34089179.7095952,0.03471917631953608,0.03468890156209928,90
26,1,40130206.520458534,55016443.75717095,0.0432725832849084,0.044996876237101295,11
27,0,28274419.59624126,32977495.86160274,0.034122590862919695,0.03411317354142407,90
27,1,44146250.64244537,58099659.853055626,0.04805110964532558,0.050019103017674184,11
28,0,26933443.604178086,31840822.245450586,0.0325200860699615,0.03248207100540649,90
28,1,47312828.68620493,61387233.0348038,0.051553140630967095,0.05376462768121643,11
29,0,25971323.77070091,30930925.8326649,0.031318764625916234,0.0312994714331306,90
29,1,52336535.68100646,66181685.956327945,0.057136969149952095,0.05971867981287971,11
30,0,26847608.299662653,31896132.296594623,0.032282431752945706,0.032312534753798694,90
30,1,56447642.628030755,67940799.94582528,0.061574561162902414,0.06431382214387646,11
