horizon,model,mae,rmse,mape,smape,n
1,direct_category_weather_holiday,19520733.999911472,28612334.56650102,0.02303196680671583,0.02314758095995327,101
2,direct_category_weather_holiday,23322468.64115632,32301765.536753614,0.027505495929219026,0.02763513415972339,101
3,direct_category_weather_holiday,25520838.80447622,35471713.50232482,0.030140874188977228,0.03030006663645723,101
4,direct_category_weather_holiday,27415837.938092243,38022589.25692728,0.032414168046637666,0.0325088094465382,101
5,direct_category_weather_holiday,28870157.011064682,39892825.9458211,0.034152834582714474,0.03421970827246114,101
6,direct_category_weather_holiday,30810131.475853484,41535237.08239779,0.03636653937037651,0.03646625934826579,101
7,direct_category_weather_holiday,31115525.999522965,40466104.71929997,0.03681687726457849,0.03677444638007361,101
8,direct_category_weather_holiday,31118472.994436406,40301125.42533433,0.03679248870887729,0.036735027285289504,101
9,direct_category_weather_holiday,31121338.02998929,40389212.43326961,0.03663698294095192,0.036706323488708385,101
10,direct_category_weather_holiday,30878658.370101012,40256027.67079523,0.03629492592578044,0.03643101116332481,101
11,direct_category_weather_holiday,30172782.83505828,39795752.48817069,0.03546250542223864,0.03559869551829425,101
12,direct_category_weather_holiday,29729421.757922832,39775810.764493205,0.03488793250295837,0.03505423929273348,101
13,direct_category_weather_holiday,29126758.796226066,38686644.52838542,0.03417780004268208,0.03435518328054027,101
14,direct_category_weather_holiday,28215304.37302173,36879339.47033681,0.03315843939469836,0.03329859536957484,101
15,direct_category_weather_holiday,28643984.09582605,37249638.9828403,0.033711333078501896,0.03384542276124411,101
16,direct_category_weather_holiday,29268300.26642316,37775283.30182297,0.03444569550829926,0.03462699067599284,101
17,direct_category_weather_holiday,28873283.321633942,36987747.91596662,0.03401941998793151,0.03417989213222559,101
18,direct_category_weather_holiday,28805125.178880315,36213488.03453663,0.03410152508161964,0.03419650185076413,101
19,direct_category_weather_holiday,28813062.382907797,35877502.90389196,0.03421745096775198,0.03426074822520192,101
20,direct_category_weather_holiday,28596441.488220282,35637401.02237027,0.03393359143647839,0.03399680104500764,101
21,direct_category_weather_holiday,28670018.203491747,36111367.68825648,0.03397209696860184,0.034043497127569204,101
22,direct_category_weather_holiday,28457675.711755954,36298002.674814716,0.03365819483666846,0.033759544089268165,101
23,direct_category_weather_holiday,28448025.267971653,36241419.22809536,0.033597296769435,0.033766447636255616,101
24,direct_category_weather_holiday,29335430.78990218,36977503.82068049,0.03471642671260886,0.03488478327959627,101
25,direct_category_weather_holiday,30153132.01689,37526748.702365406,0.035793910815917075,0.03590980540958261,101
26,direct_category_weather_holiday,30010206.21141066,36948103.223750144,0.03565073549398257,0.03581155226927771,101
27,direct_category_weather_holiday,30003034.85869914,36561036.20715499,0.03563955825506291,0.03584550249428299,101
28,direct_category_weather_holiday,29152980.593309727,36246916.24853191,0.03459299300234826,0.03479997321762341,101
29,direct_category_weather_holiday,28842782.493605476,36463078.66438062,0.034130648286949845,0.03439463274181615,101
30,direct_category_weather_holiday,30071374.414633434,37540495.397469886,0.035472663668881584,0.03579782347945073,101
1,direct_category_weather_holiday_segment,17436491.509904135,23190803.043165576,0.02072059771156518,0.020689416558969,101
2,direct_category_weather_holiday_segment,19600133.89735369,25832054.848203763,0.023256945365744085,0.023276325078433135,101
3,direct_category_weather_holiday_segment,22396132.89135372,29842021.53527755,0.026635204915742915,0.026699143674132023,101
4,direct_category_weather_holiday_segment,24948921.20742945,33090817.747891862,0.029627649129907226,0.029662573728909045,101
5,direct_category_weather_holiday_segment,26715790.622733094,35539616.69370981,0.03162534031803938,0.03165024032077327,101
6,direct_category_weather_holiday_segment,27695996.676985428,37150208.16135884,0.032686629418272495,0.0327179097388191,101
7,direct_category_weather_holiday_segment,28603012.468464993,37361829.71773844,0.03387421460579379,0.03380471043065249,101
8,direct_category_weather_holiday_segment,27929214.898792077,36479505.58380551,0.03312367217882543,0.033030536797923504,101
9,direct_category_weather_holiday_segment,27369699.94089495,35354075.176105134,0.032343879765019005,0.03231964376813355,101
10,direct_category_weather_holiday_segment,27220894.32549033,34622933.13257859,0.032136240764876714,0.032146045805584215,101
11,direct_category_weather_holiday_segment,27189946.4059668,34666423.85421041,0.032046295753289024,0.032100777474097356,101
12,direct_category_weather_holiday_segment,27123522.25152065,35142705.09875274,0.03185319693823211,0.031983977280507746,101
13,direct_category_weather_holiday_segment,26075372.741748173,34268774.651804164,0.03061710939713116,0.03077114525752223,101
14,direct_category_weather_holiday_segment,25301033.957602575,32817180.126170672,0.02974443497233642,0.029880570884165767,101
15,direct_category_weather_holiday_segment,26225867.88304989,32783350.711047105,0.030930545282857158,0.03103433304004156,101
16,direct_category_weather_holiday_segment,26429380.724522874,32923533.829867266,0.031181024776734775,0.031304262219751716,101
17,direct_category_weather_holiday_segment,26039105.275706626,32244982.707113113,0.03075808138501393,0.030871371335884443,101
18,direct_category_weather_holiday_segment,25781534.600031447,31720046.75604675,0.03056265337034349,0.0306328290908899,101
19,direct_category_weather_holiday_segment,25986664.33199789,31332116.795983296,0.0308919615055021,0.030922211453949456,101
20,direct_category_weather_holiday_segment,26207807.579951264,31577959.67358183,0.031204056771201548,0.03122912545804034,101
21,direct_category_weather_holiday_segment,26110193.808918312,31742720.228439096,0.031001722921695663,0.031024621612446474,101
22,direct_category_weather_holiday_segment,25684245.358983953,31984790.50241753,0.03040924802335839,0.03046067991961541,101
23,direct_category_weather_holiday_segment,25630572.91155815,32031188.511524323,0.03025967030949965,0.030375880344543832,101
24,direct_category_weather_holiday_segment,26411214.67755952,32838279.331818532,0.031225072593089716,0.03135200000519675,101
25,direct_category_weather_holiday_segment,28061297.142480977,34169065.015281305,0.033357723614155246,0.03346206083356973,101
26,direct_category_weather_holiday_segment,28115166.909918062,33864987.96695537,0.03342460393900006,0.0335783428287681,101
27,direct_category_weather_holiday_segment,27322036.39921458,33052284.449538667,0.032368086638059325,0.03256016742103996,101
28,direct_category_weather_holiday_segment,26064578.46534219,32034696.748148493,0.030791939875500118,0.03096224334762177,101
29,direct_category_weather_holiday_segment,25413575.631409172,31636415.490593735,0.02995021657333315,0.030153861003762987,101
30,direct_category_weather_holiday_segment,26188668.169770032,32460294.470732726,0.030802494139447203,0.03106594435844408,101
