group,target,horizon,model,mae,rmse,mape,smape,n
city,宁德,1,direct_context_weather_holiday,3741964.938270681,4666998.980863276,0.036467534129064234,0.036607372827425724,101
city,宁德,2,direct_context_weather_holiday,4544688.819132761,5526692.2698271675,0.044259296147501334,0.0445158789461269,101
city,宁德,3,direct_context_weather_holiday,5155388.3586557675,6075902.021494227,0.05031797009107596,0.05061284871368642,101
city,宁德,4,direct_context_weather_holiday,5551293.97794915,6459175.355604355,0.05406472038117731,0.05435724257627141,101
city,宁德,5,direct_context_weather_holiday,5984362.563851316,6880652.883667158,0.05826879923630247,0.05856911562591817,101
city,宁德,6,direct_context_weather_holiday,6330386.744113319,7260425.774155705,0.06151653507523705,0.06197607096955978,101
city,宁德,7,direct_context_weather_holiday,6623903.724837246,7471827.064448766,0.06441347590342576,0.06473143900919849,101
city,宁德,8,direct_context_weather_holiday,6855461.263818277,7700471.549570407,0.06670700836171986,0.06691692692667943,101
city,宁德,9,direct_context_weather_holiday,6795030.519219609,7721777.826535802,0.06604611343139939,0.0662375562760785,101
city,宁德,10,direct_context_weather_holiday,6367522.897901137,7316151.268130006,0.06215314303458324,0.06196073957937237,101
city,宁德,11,direct_context_weather_holiday,6114758.035431305,7102004.441268304,0.060061959742703494,0.05943989422771948,101
city,宁德,12,direct_context_weather_holiday,6036398.678232337,7065997.7656123955,0.059296656387830014,0.05869024198795645,101
city,宁德,13,direct_context_weather_holiday,6214600.467847672,7141160.190973979,0.060650661280952395,0.060534430894244796,101
city,宁德,14,direct_context_weather_holiday,6131962.168453792,7149352.788939352,0.059759850262283705,0.05979150776116483,101
city,宁德,15,direct_context_weather_holiday,6157798.9119050065,7124370.637557605,0.060086902790714734,0.06011397029891054,101
city,宁德,16,direct_context_weather_holiday,6253253.422045558,7303283.233627528,0.06090011487860636,0.0610355633324843,101
city,宁德,17,direct_context_weather_holiday,6280662.948281226,7394781.297595951,0.06102704359044903,0.061340826384885354,101
city,宁德,18,direct_context_weather_holiday,6276923.866530269,7501979.1575694615,0.060933596041443085,0.06143674598081585,101
city,宁德,19,direct_context_weather_holiday,6189869.709366092,7389850.368414178,0.06011745326339659,0.06070526341155815,101
city,宁德,20,direct_context_weather_holiday,6332772.135628553,7498031.089211861,0.061168942185072725,0.062319670512121235,101
city,宁德,21,direct_context_weather_holiday,6628460.926846548,7834394.021709452,0.06371504503094685,0.06540746485656872,101
city,宁德,22,direct_context_weather_holiday,7007889.9737218805,8108438.398295073,0.0673299939762972,0.06940419816499331,101
city,宁德,23,direct_context_weather_holiday,7218055.982773468,8375459.318962559,0.06936405847170207,0.07162758640113023,101
city,宁德,24,direct_context_weather_holiday,7326220.599815165,8468485.103883801,0.070501030041667,0.07280417526723713,101
city,宁德,25,direct_context_weather_holiday,7081387.048625024,8235263.1801360585,0.06845904673839828,0.07024212283233791,101
city,宁德,26,direct_context_weather_holiday,6803513.072736325,7986810.919279646,0.06587524130744278,0.06740230725996059,101
city,宁德,27,direct_context_weather_holiday,6688674.982253864,7821254.457864702,0.06465732526557905,0.0664954668239343,101
