target,model,holiday_name,mae,rmse,mape,smape,n
宁德,direct_context_weather_holiday,元旦,8023867.5783776725,9230751.071627006,0.07991758347749668,0.08432578705426147,90
宁德,direct_context_weather_holiday_segment,元旦,4014491.830893452,4919695.933850807,0.04021568350004528,0.04136210147935426,90
宁德,direct_context_weather_holiday,国庆中秋,9281818.737886783,10056470.207090598,0.08139781037010202,0.0854666620560261,240
宁德,direct_context_weather_holiday_segment,国庆中秋,5104794.149472308,6034406.162867896,0.0450681355714021,0.046494275382557855,240
居民生活,direct_context_weather_holiday,元旦,9648718.449540647,10662439.930653838,0.055149986544780746,0.05334407443061987,90
居民生活,direct_context_weather_holiday_segment,元旦,9819083.100229034,10799168.565039529,0.05614088970238443,0.054285874212712956,90
居民生活,direct_context_weather_holiday,国庆中秋,34120492.33443963,35759092.0089819,0.12328070836438901,0.13220075471945508,240
居民生活,direct_context_weather_holiday_segment,国庆中秋,32847243.883237608,35418144.07976953,0.1183609622939211,0.12706272371023608,240
莆田,direct_context_weather_holiday,元旦,2013166.1906950325,2306022.9535440085,0.05462161133637386,0.05403871016368728,90
莆田,direct_context_weather_holiday_segment,元旦,2604554.0321851894,3120424.7120168637,0.06774328238517821,0.07099423894100947,90
莆田,direct_context_weather_holiday,国庆中秋,5386310.617300283,6066901.450752321,0.09338804185806347,0.09913831861269048,240
莆田,direct_context_weather_holiday_segment,国庆中秋,4684515.006568327,5195281.4948808,0.0815731522833453,0.08575527031797003,240
