target,model,is_public_holiday,mae,rmse,mape,smape,n
宁德,direct_context_weather_holiday,0,5954075.893250145,7015942.1140009845,0.058451528583605035,0.058823380718817445,2700
宁德,direct_context_weather_holiday_segment,0,6002837.053063667,7014980.669654788,0.058665134298581514,0.05933172549458203,2700
宁德,direct_context_weather_holiday,1,8938741.148929752,9838149.494548047,0.08099411212666419,0.08515551432827213,330
宁德,direct_context_weather_holiday_segment,1,4807438.971678075,5751858.878597493,0.04374473955194115,0.04509459159077506,330
居民生活,direct_context_weather_holiday,0,11412463.589729868,13923597.242779274,0.06851660968605566,0.06587201073657803,2700
居民生活,direct_context_weather_holiday_segment,0,10522161.847909046,12995533.101589883,0.06268131316093559,0.060731067484390285,2700
居民生活,direct_context_weather_holiday,1,27446372.18401264,30999654.20082657,0.10469960241358675,0.11069438736795456,330
居民生活,direct_context_weather_holiday_segment,1,26566836.396962542,30726691.928459324,0.10139185158713837,0.1072144920290934,330
莆田,direct_context_weather_holiday,0,2867027.5198751255,3574775.046149725,0.07090894467798829,0.06853856628407462,2700
莆田,direct_context_weather_holiday_segment,0,2777368.8014744944,3465143.788236778,0.06723690056417674,0.06608147406989252,2700
莆田,direct_context_weather_holiday,1,4466362.137317033,5312177.872945593,0.08281537898851177,0.08683842539932597,330
莆田,direct_context_weather_holiday_segment,1,4117252.9226456527,4720735.205053086,0.07780136958384519,0.08172953448788989,330
