target,model,mae,rmse,mape,smape,n
制造业,ridge_own_lags_calendar,10857587.653039588,17663591.4269989,0.025310685232438023,0.025102898061894023,101
制造业,naive_yesterday,12880332.683168316,19534091.796730604,0.029930409997874063,0.0296049559241717,101
制造业,seasonal_year,22608911.86138614,26560760.444353618,0.04987336959656879,0.05152238000683415,101
制造业,rolling7,17343646.683168318,26831888.578423288,0.04027241131382148,0.03939640075847901,101
制造业,rolling28,16792835.091584157,27538947.640887942,0.03972020020877629,0.037887191725343314,101
制造业,seasonal_week,24717504.792079207,39340740.0972958,0.0569932718075896,0.05620883871838858,101
合计,ridge_with_category_lags,15574229.259820895,23650142.313796327,0.018699589867528007,0.0185213289463007,101
合计,ridge_own_lags_calendar,16295391.519714445,23911163.13094149,0.019369020944754605,0.01936374654827955,101
合计,naive_yesterday,16523845.316831684,24768357.986678496,0.02000826044376528,0.01987123818742045,101
合计,rolling7,26051734.114568602,40453114.4925827,0.03153597363925359,0.030830446370072515,101
合计,rolling28,42210713.299858555,61871991.009888336,0.05217922090286668,0.049687443943913674,101
合计,seasonal_week,38446573.20792079,61883776.62078068,0.046247079593994087,0.044797907979976175,101
合计,seasonal_year,60385836.17821782,93528346.56101038,0.06771193137623953,0.07317017787196929,101
商业用电,naive_yesterday,1742533.4257425743,2728257.1300402037,0.020258107822497363,0.020033584900580884,101
商业用电,ridge_own_lags_calendar,2214075.680087449,3298352.2220742977,0.0258971175308585,0.025548089989730922,101
商业用电,rolling7,2801316.2418670435,5745065.938294393,0.033867300779053165,0.031978658877002575,101
商业用电,seasonal_week,4363227.475247525,9083401.233539077,0.05248243354783243,0.04762884015923175,101
商业用电,rolling28,6978869.69165488,11610888.880189091,0.08771774935671818,0.07871772657279771,101
商业用电,seasonal_year,7819404.495049505,13300416.623016814,0.0786621076915003,0.08587108749286858,101
大工业电量,ridge_own_lags_calendar,11020748.612033656,16594109.146041019,0.0257289264278544,0.025553690800084822,101
大工业电量,naive_yesterday,13182200.603960397,18646516.147495046,0.030790647936958356,0.030541561828020442,101
大工业电量,seasonal_year,16432274.504950495,21170993.608769324,0.037351525296928624,0.03797017541766123,101
大工业电量,rolling28,16454615.949787831,23715022.706868052,0.0387733890760475,0.03764153355638953,101
大工业电量,rolling7,16513711.04384724,23850673.37329844,0.03855216505445661,0.03795960181833243,101
大工业电量,seasonal_week,23647931.01980198,34494569.71401655,0.05474056312266518,0.05432405331437026,101
居民生活,naive_yesterday,4380880.148514852,7616080.872302942,0.023219777306967285,0.022770057119696256,101
居民生活,ridge_own_lags_calendar,4994686.920248288,8141312.918797839,0.026901076820210187,0.026485714000545828,101
居民生活,rolling7,8767620.055162659,16681437.285721244,0.04918229483513743,0.04555021106526655,101
居民生活,seasonal_week,14479173.920792079,27346721.374538135,0.0820410675693212,0.07272659031119513,101
居民生活,rolling28,21597758.009193778,35035232.27681069,0.1344919745364438,0.11535524803430566,101
居民生活,seasonal_year,25401864.445544556,46114219.35330123,0.11194308568757574,0.13080566097313256,101
工业,ridge_own_lags_calendar,13083710.89059316,19868074.70466363,0.027649636663543233,0.027467235726337295,101
工业,naive_yesterday,15054603.257425742,22047639.30018302,0.03190668456155031,0.0315679859844149,101
工业,rolling7,19416983.48656294,28430948.414202236,0.041042004405075314,0.040262677041675354,101
工业,rolling28,19047977.161951907,28481216.64144282,0.040722726698456155,0.03927043643756274,101
工业,seasonal_year,26000063.148514852,32713283.08855343,0.052685119097591236,0.05485215044215395,101
工业,seasonal_week,27554362.435643565,41263146.14669549,0.05767231503036476,0.05708446876453372,101
