model,horizon,mae,mape,n
naive_yesterday,1,40792572.666666664,0.050004929639679695,6
naive_yesterday,2,73059964.83333333,0.08730490883520393,6
naive_yesterday,3,68921862.5,0.08091527812086556,6
naive_yesterday,4,63832895.833333336,0.08100859523843476,6
naive_yesterday,5,60478549.333333336,0.07417839111212501,6
naive_yesterday,6,63230102.833333336,0.07538535853961213,6
naive_yesterday,7,51338834.666666664,0.05962568160095685,6
naive_yesterday,8,52023876.833333336,0.059009630114284735,6
naive_yesterday,9,59521452.5,0.06616845291394872,6
naive_yesterday,10,57189517.0,0.06283001098771257,6
naive_yesterday,11,61734821.333333336,0.06725048270096644,6
naive_yesterday,12,70710756.33333333,0.0754745471468178,6
naive_yesterday,13,74702077.66666667,0.08272594651735692,6
naive_yesterday,14,56311932.833333336,0.06453713429093703,6
naive_yesterday,15,58004459.5,0.06808097635775955,6
naive_yesterday,16,67235485.0,0.07835026343778508,6
naive_yesterday,17,56395448.666666664,0.0655792265318792,6
naive_yesterday,18,52065591.833333336,0.05884818983425832,6
naive_yesterday,19,73918451.66666667,0.08315502432291422,6
naive_yesterday,20,78199896.5,0.08953446707149983,6
naive_yesterday,21,89090431.16666667,0.10421496464197601,6
naive_yesterday,22,95025080.66666667,0.11305356712225446,6
naive_yesterday,23,105398123.5,0.12223574730070019,6
naive_yesterday,24,99751275.33333333,0.11400246222755811,6
naive_yesterday,25,115446590.33333333,0.13080769317840749,6
naive_yesterday,26,114280888.66666667,0.12922151815914867,6
naive_yesterday,27,115636612.83333333,0.1304761500149935,6
naive_yesterday,28,103512845.0,0.11656155270141395,6
naive_yesterday,29,106575736.83333333,0.12347670374030867,6
naive_yesterday,30,112063876.66666667,0.12961063866046676,6
ridge_recursive,1,35928424.62050065,0.04447182270299766,6
ridge_recursive,2,49414762.32502973,0.05860800956422867,6
ridge_recursive,3,41528100.49832138,0.048780881595512686,6
ridge_recursive,4,41174946.468629956,0.053519323195628764,6
ridge_recursive,5,45219298.365112804,0.05399729657667542,6
ridge_recursive,6,28627137.01100449,0.034236000519255336,6
ridge_recursive,7,39370612.77360827,0.045189736338836974,6
ridge_recursive,8,58691159.632049225,0.06447407935782369,6
ridge_recursive,9,62755154.81233072,0.06775139147838025,6
ridge_recursive,10,60850244.19649824,0.06592716233488582,6
ridge_recursive,11,67720487.61623125,0.07267564193734441,6
ridge_recursive,12,74579340.63414358,0.0793851162631387,6
ridge_recursive,13,68343356.20772402,0.07232587675714869,6
ridge_recursive,14,50801789.86195449,0.05489069519723542,6
ridge_recursive,15,50430013.40925399,0.05595684978336152,6
ridge_recursive,16,48911774.18326787,0.05451984487271905,6
ridge_recursive,17,41513185.76745906,0.046375286039272545,6
ridge_recursive,18,56537067.0031366,0.06279568033072096,6
ridge_recursive,19,48188700.36752292,0.05457149486357613,6
ridge_recursive,20,33834966.69596841,0.039230221737912185,6
ridge_recursive,21,37882211.968526624,0.04545453679592235,6
ridge_recursive,22,44717677.38732028,0.05324773284047112,6
ridge_recursive,23,54738395.447158,0.06274127549211346,6
ridge_recursive,24,51446337.03576434,0.058531493336283096,6
ridge_recursive,25,53235298.20345163,0.05857887683997557,6
ridge_recursive,26,46178247.759730496,0.05022031179821146,6
ridge_recursive,27,48144141.94994464,0.05322313914090565,6
ridge_recursive,28,43641884.94519538,0.04862829127375027,6
ridge_recursive,29,39104823.7459417,0.04375701231148301,6
ridge_recursive,30,39060396.024398565,0.04420266498604523,6
rolling28,1,63096921.916666664,0.08018683910685376,6
rolling28,2,51719849.3210034,0.06448687785073612,6
rolling28,3,43920614.51987672,0.052556402354594196,6
rolling28,4,43973649.85137379,0.05689838687829183,6
rolling28,5,32679366.392557878,0.041042874585512604,6
rolling28,6,37960739.99642172,0.045483041116953137,6
rolling28,7,37924817.36534158,0.04394875350142199,6
rolling28,8,37962867.457173906,0.042271741699492986,6
rolling28,9,45499317.30951607,0.05096711824993361,6
rolling28,10,39563034.22533218,0.04459238379988951,6
rolling28,11,44117849.56671312,0.04836238489964952,6
rolling28,12,51322236.64553338,0.05610664984680999,6
rolling28,13,53554725.05280038,0.059792403571663426,6
rolling28,14,35691333.175019644,0.04138330482174236,6
rolling28,15,32746277.688775163,0.038921987035489075,6
rolling28,16,36898650.38004092,0.044658285913592936,6
rolling28,17,22241920.423781395,0.02709029208935632,6
rolling28,18,34930894.56986884,0.04026915355730095,6
rolling28,19,57722056.55450704,0.06580717609551058,6
rolling28,20,57608353.78859653,0.06675289770305813,6
rolling28,21,66613989.12755778,0.08078092483773398,6
rolling28,22,76512046.38717218,0.0933792365504154,6
rolling28,23,92337752.38909505,0.10978895596297855,6
rolling28,24,84790628.99227697,0.09938236967892113,6
rolling28,25,94516934.64809068,0.10904359457637997,6
rolling28,26,93620378.46885581,0.10783431502351293,6
rolling28,27,95195488.60464825,0.109775250338962,6
rolling28,28,83022879.77505235,0.09492875833961383,6
rolling28,29,85353987.13606612,0.10044747107988596,6
rolling28,30,90633417.64432694,0.10723198407251333,6
rolling7,1,33427274.785714287,0.04145554808185075,6
rolling7,2,44212556.28911567,0.052886937651050146,6
rolling7,3,40537768.01797863,0.046915732350543506,6
rolling7,4,37642572.40149935,0.048374975259505286,6
rolling7,5,36122947.50647545,0.04420663461538673,6
rolling7,6,40567198.45978147,0.0479184159533572,6
rolling7,7,37007584.181733094,0.04244111963482149,6
rolling7,8,36779548.570582904,0.04049119374266522,6
rolling7,9,41501739.37582978,0.04486440237867162,6
rolling7,10,39031771.53505,0.042199296415077824,6
rolling7,11,45107009.19920969,0.04830468351909314,6
rolling7,12,52207172.01248977,0.05474052861222395,6
rolling7,13,55979171.26028166,0.06126272217534645,6
rolling7,14,35915330.440588854,0.04055126214947706,6
rolling7,15,38218580.66833206,0.04436938083082521,6
rolling7,16,43152188.05391449,0.05046084715391325,6
rolling7,17,31308746.973655265,0.036196633954480924,6
rolling7,18,38665715.163198255,0.04360215367597916,6
rolling7,19,59476736.6698341,0.06662990925711305,6
rolling7,20,58433638.02457652,0.06645932576686168,6
rolling7,21,69083699.02080314,0.081692038252135,6
rolling7,22,75769818.55481339,0.09131368356825682,6
rolling7,23,90929714.97783916,0.10620581823425403,6
rolling7,24,83025704.75077355,0.09546888576141373,6
rolling7,25,95851031.99593621,0.10877977048135011,6
rolling7,26,94681117.61158966,0.10717841837022814,6
rolling7,27,96032593.09609848,0.10871001244507028,6
rolling7,28,83907336.20791185,0.09433701304859383,6
rolling7,29,86972152.59714538,0.1007239331934176,6
rolling7,30,92463270.59702666,0.1071020340298587,6
seasonal_week,1,29984314.0,0.03833217913175898,6
seasonal_week,2,34451838.166666664,0.04133575920247775,6
seasonal_week,3,25181370.666666668,0.02918793556340818,6
seasonal_week,4,26570169.166666668,0.03553680263912349,6
seasonal_week,5,25337412.333333332,0.031039562093488626,6
seasonal_week,6,45438757.5,0.0528260453720111,6
seasonal_week,7,51338834.666666664,0.05962568160095685,6
seasonal_week,8,43155717.833333336,0.04729455112913044,6
seasonal_week,9,44861061.166666664,0.04807444223659094,6
seasonal_week,10,43912347.833333336,0.04731214771044993,6
seasonal_week,11,40188271.666666664,0.04225667720111948,6
seasonal_week,12,47656797.666666664,0.04959889091698319,6
seasonal_week,13,55628501.333333336,0.060803467377759234,6
seasonal_week,14,56311932.833333336,0.06453713429093703,6
seasonal_week,15,29846592.833333332,0.033521099287439245,6
seasonal_week,16,34459640.0,0.03981295500050332,6
seasonal_week,17,23305612.833333332,0.02686203946405485,6
seasonal_week,18,28858101.166666668,0.0324391601467977,6
seasonal_week,19,52832906.666666664,0.05861576277087333,6
seasonal_week,20,61911285.5,0.07095751064648444,6
seasonal_week,21,89090431.16666667,0.10421496464197601,6
seasonal_week,22,61024922.666666664,0.07297072162638688,6
seasonal_week,23,82190036.16666667,0.09561423912376349,6
seasonal_week,24,79905236.5,0.09114565474468744,6
seasonal_week,25,86980861.0,0.09887684305375817,6
seasonal_week,26,87477571.33333333,0.0990811795280838,6
seasonal_week,27,96563036.5,0.11045433220298816,6
seasonal_week,28,103512845.0,0.11656155270141395,6
seasonal_week,29,63058535.5,0.07211173243056457,6
seasonal_week,30,78461979.33333333,0.08997109239543259,6
