日期,actual,prediction,lower_90,median_bias_adjusted,upper_90,covered_90
2025-10-01,893877447,976188187.5271889,940613199.4269074,977908077.4788942,1005881312.5865446,False
2025-10-02,877524402,872035415.611333,836460427.5110515,873755305.5630383,901728540.6706887,True
2025-10-03,906128774,880160705.2204792,844585717.1201978,881880595.1721846,909853830.279835,True
2025-10-04,947397946,904737360.9917392,869162372.8914577,906457250.9434445,934430486.0510949,False
2025-10-05,967898095,931470252.2193807,895895264.1190993,933190142.1710861,961163377.2787365,False
2025-10-06,909397624,973403829.2582306,937828841.1579491,975123719.2099359,1003096954.3175863,False
2025-10-07,958058211,890738929.3876245,855163941.287343,892458819.3393298,920432054.4469802,False
2025-10-08,1002652065,951550601.5391048,915975613.4388233,953270491.4908102,981243726.5984606,False
2025-10-09,1006596066,988901238.286523,953326250.1862415,990621128.2382283,1018594363.3458787,True
2025-10-10,988218980,988121281.5545058,952546293.4542243,989841171.5062112,1017814406.6138616,True
2025-10-11,993216057,959942171.9996597,924367183.8993782,961662061.951365,989635297.0590154,False
2025-10-12,982996119,960814222.8200865,925239234.719805,962534112.7717918,990507347.8794422,True
2025-10-13,994158096,985068632.0097383,949493643.9094568,986788521.9614437,1014761757.0690941,True
2025-10-14,999440675,985071819.8155262,949496831.7152448,986791709.7672316,1014764944.874882,True
2025-10-15,979563855,989659575.1565691,954084587.0562876,991379465.1082745,1019352700.2159249,True
2025-10-16,973453600,971372820.8029007,935797832.7026192,973092710.754606,1001065945.8622564,True
2025-10-17,976535370,971621365.5232055,936046377.422924,973341255.4749109,1001314490.5825613,True
2025-10-18,976325746,964522197.2629098,928947209.1626283,966242087.2146151,994215322.3222655,True
2025-10-19,896789087,956215116.2668561,920640128.1665746,957935006.2185614,985908241.3262118,False
2025-10-20,853624251,915948029.5630069,880373041.4627254,917667919.5147122,945641154.6223626,False
2025-10-21,795444895,861428600.6483517,825853612.5480702,863148490.600057,891121725.7077074,False
2025-10-22,783518576,803784965.4407153,768209977.3404338,805504855.3924206,833478090.500071,True
2025-10-23,783134792,797440275.3677942,761865287.2675127,799160165.3194995,827133400.4271499,True
2025-10-24,786285205,800390200.1209009,764815212.0206194,802110090.0726062,830083325.1802566,True
2025-10-25,787344834,791060937.1087277,755485949.0084462,792780827.060433,820754062.1680834,True
2025-10-26,788309358,784261300.2636746,748686312.1633931,785981190.21538,813954425.3230304,True
2025-10-27,788347388,813470810.2559026,777895822.1556212,815190700.207608,843163935.3152584,True
2025-10-28,803213606,798437770.1954936,762862782.0952121,800157660.1471989,828130895.2548493,True
2025-10-29,791815205,808827786.9593202,773252798.8590387,810547676.9110255,838520912.0186759,True
2025-10-30,801523722,795753499.7969059,760178511.6966244,797473389.7486112,825446624.8562616,True
2025-10-31,806599754,809023632.9555795,773448644.855298,810743522.9072849,838716758.0149353,True
2025-11-01,760921367,797787853.0816445,762212864.981363,799507743.0333499,827480978.1410003,False
2025-11-02,744828378,746721568.339031,711146580.2387495,748441458.2907363,776414693.3983867,True
2025-11-03,780447693,773113635.0493304,737538646.9490489,774833525.0010357,802806760.1086861,True
2025-11-04,782600645,792182755.125126,756607767.0248445,793902645.0768313,821875880.1844817,True
2025-11-05,784108702,784684388.1532907,749109400.0530093,786404278.1049961,814377513.2126465,True
2025-11-06,789959014,788659719.938535,753084731.8382535,790379609.8902403,818352844.9978907,True
2025-11-07,808798324,797174971.4517187,761599983.3514372,798894861.403424,826868096.5110744,True
2025-11-08,816286170,804056369.6838001,768481381.5835186,805776259.6355054,833749494.7431558,True
2025-11-09,794671570,798930715.2607951,763355727.1605136,800650605.2125005,828623840.3201509,True
2025-11-10,803150509,811070632.734077,775495644.6337955,812790522.6857823,840763757.7934327,True
2025-11-11,811031660,806549406.9281318,770974418.8278503,808269296.8798372,836242531.9874876,True
2025-11-12,800371284,807942904.4721271,772367916.3718456,809662794.4238324,837636029.5314828,True
2025-11-13,795412883,800372360.5465206,764797372.4462391,802092250.4982259,830065485.6058763,True
2025-11-14,784929625,800300807.875534,764725819.7752526,802020697.8272394,829993932.9348898,True
2025-11-15,771969074,780529666.851001,744954678.7507195,782249556.8027064,810222791.9103568,True
2025-11-16,748102925,760298679.7188698,724723691.6185883,762018569.6705751,789991804.7782255,True
2025-11-17,784946049,770998854.9947706,735423866.8944892,772718744.946476,800691980.0541264,True
2025-11-18,802372785,799903560.0246506,764328571.9243691,801623449.9763559,829596685.0840063,True
