target,model,mae,rmse,mape,smape,n
制造业,ridge_own_lags_calendar,10857587.653039588,17663591.4269989,0.025310685232438023,0.025102898061894023,101
制造业,ridge_own_weather,10834053.154645437,17763456.682640523,0.025294822152192763,0.025072328612776206,101
合计,ridge_category_weather,14454981.811617667,22029443.91196208,0.017138837582678385,0.017100574736222857,101
合计,ridge_own_lags_calendar,16295391.519714445,23911163.13094149,0.019369020944754605,0.01936374654827955,101
合计,ridge_own_weather,19325671.01692773,25250578.394045617,0.02326953772288824,0.023393728965084015,101
商业用电,ridge_own_weather,2091795.7473036842,2523054.5908334,0.025453101175234184,0.025744899177147368,101
商业用电,ridge_own_lags_calendar,2214075.680087449,3298352.2220742977,0.0258971175308585,0.025548089989730922,101
大工业电量,ridge_own_lags_calendar,11020748.612033656,16594109.146041019,0.0257289264278544,0.025553690800084822,101
大工业电量,ridge_own_weather,11058236.052396826,16681226.48232041,0.025836026865726974,0.02565535073663972,101
居民生活,ridge_own_weather,4411907.078402372,6239164.37070994,0.023994501893353712,0.024285063513123307,101
居民生活,ridge_own_lags_calendar,4994686.920248288,8141312.918797839,0.026901076820210187,0.026485714000545828,101
工业,ridge_own_lags_calendar,13083710.89059316,19868074.70466363,0.027649636663543233,0.027467235726337295,101
工业,ridge_own_weather,13109389.128518676,19948461.48369232,0.027736622678727212,0.02754040931974904,101
