node,out_degree,out_strength,in_degree,in_strength,net_out_strength
纺织业,8,47.126656604918765,17.0,71.39396614644637,-24.26730954152761
电子,7,42.447579658408706,8.0,36.992909385869055,5.454670272539651
信息传输,8,25.628813075331102,0.0,0.0,25.628813075331102
制造业,6,22.5795939847076,14.0,42.64244586740369,-20.062851882696087
交通仓储和邮政业,7,22.057337957879437,0.0,0.0,22.057337957879437
黑色金属冶炼,7,21.9630342546886,11.0,27.92420276504608,-5.961168510357478
大工业电量,6,20.09656447555442,9.0,26.254562370708225,-6.157997895153805
工业,6,19.72220863049826,13.0,36.15939806625352,-16.437189435755265
合计,8,17.973227096562173,2.0,3.835958676505218,14.137268420056955
石化,7,17.878602770114306,0.0,0.0,17.878602770114306
农业,6,17.2123895259503,0.0,0.0,17.2123895259503
商业用电,6,16.390097088222692,2.0,2.859966066167606,13.530131022055086
非普工业,7,16.159542405113687,16.0,58.365119469826254,-42.20557706471257
批发和零售业,6,16.13312799804593,3.0,4.884646081666396,11.248481916379532
化学制品制造业,6,15.451107221686481,0.0,0.0,15.451107221686481
住宿和餐饮业,5,10.820819569410261,0.0,0.0,10.820819569410261
居民生活,4,8.733519501944947,0.0,0.0,8.733519501944947
非金属矿物制品业,2,5.515348718142043,17.0,52.57639564128729,-47.06104692314525
