cause,effect,lag_weeks,f_stat,p_value,n,q_value_fdr,pass_fdr_05,window_start,window_end
大工业电量,合计,1,1.28867656627041,0.25897877278435544,104,0.48600218571116116,False,2023-01-01,2024-12-31
非普工业,合计,1,1.941015959573697,0.16661695449642944,104,0.39219067750698006,False,2023-01-01,2024-12-31
居民生活,合计,1,0.7565986210801771,0.3864575990961011,104,0.5850638575666518,False,2023-01-01,2024-12-31
商业用电,合计,1,0.5879369942365181,0.4450065657042733,104,0.607910754935302,False,2023-01-01,2024-12-31
农业,合计,1,2.7861176528402956,0.09818127816747246,104,0.2756281754059319,False,2023-01-01,2024-12-31
制造业,合计,1,1.8346309316594973,0.17860394628190668,104,0.40785677285271227,False,2023-01-01,2024-12-31
工业,合计,1,1.6389259893389738,0.20340536494208483,104,0.4321129074481295,False,2023-01-01,2024-12-31
交通仓储和邮政业,合计,1,2.1426412389690053,0.1463604883296592,104,0.3641163368201278,False,2023-01-01,2024-12-31
信息传输,合计,1,2.4064898816767593,0.12396098934752142,104,0.32420566444736376,False,2023-01-01,2024-12-31
批发和零售业,合计,1,0.221483631069286,0.6389265559367118,104,0.710111040206861,False,2023-01-01,2024-12-31
住宿和餐饮业,合计,4,0.7306791380500367,0.5732906004131648,101,0.6721338073809519,False,2023-01-01,2024-12-31
黑色金属冶炼,合计,1,0.6026995270184957,0.4393641423919964,104,0.607910754935302,False,2023-01-01,2024-12-31
非金属矿物制品业,合计,1,2.114112276502692,0.1490471262156805,104,0.36780984372579223,False,2023-01-01,2024-12-31
化学制品制造业,合计,4,2.2246995992690244,0.07233955447149731,101,0.2300644572738659,False,2023-01-01,2024-12-31
纺织业,合计,1,3.618076121608512,0.06000391174950559,104,0.20304998997673093,False,2023-01-01,2024-12-31
电子,合计,1,0.10537451100727983,0.7461442977911376,104,0.7949184856511936,False,2023-01-01,2024-12-31
石化,合计,1,2.1539042745670534,0.14531510054837005,104,0.3641163368201278,False,2023-01-01,2024-12-31
合计,大工业电量,1,1.6358951674091484,0.20382043069274514,104,0.4321129074481295,False,2023-01-01,2024-12-31
非普工业,大工业电量,2,1.9238475990710855,0.15151954019243397,103,0.36797602618162534,False,2023-01-01,2024-12-31
居民生活,大工业电量,1,1.1139803348914636,0.2937365257508566,104,0.5165711314928858,False,2023-01-01,2024-12-31
商业用电,大工业电量,1,1.6541312169950277,0.20133818003918913,104,0.4321129074481295,False,2023-01-01,2024-12-31
农业,大工业电量,1,3.1719674656855448,0.07791840164121189,104,0.2355218039687648,False,2023-01-01,2024-12-31
制造业,大工业电量,1,3.284012280950504,0.07292892926655226,104,0.2300644572738659,False,2023-01-01,2024-12-31
工业,大工业电量,1,3.020875786525819,0.08524679234054,104,0.24843350910671658,False,2023-01-01,2024-12-31
交通仓储和邮政业,大工业电量,1,3.632762588993167,0.059495790595605835,104,0.20304998997673093,False,2023-01-01,2024-12-31
