cause,effect,windows_tested,pass_count,min_q,median_q,median_lag,stability_score
纺织业,非金属矿物制品业,4,4,5.0857318356634096e-11,4.829946456286205e-05,2.0,1.0
电子,纺织业,4,4,2.0417667556671404e-10,0.0002240735847794384,2.0,1.0
电子,制造业,4,4,1.0134433292563472e-09,0.0012393325014377066,2.0,1.0
纺织业,制造业,4,4,1.035722707598552e-08,0.002366137261256923,1.0,1.0
纺织业,工业,4,4,3.8037441996152664e-08,0.005048615423740354,1.0,1.0
纺织业,电子,4,4,4.611179604818716e-08,0.01222902940050411,2.0,1.0
制造业,纺织业,4,4,1.3415791552673362e-07,0.0032827230573026765,1.0,1.0
工业,纺织业,4,4,2.27051655277144e-07,0.005665197967505897,1.0,1.0
纺织业,大工业电量,4,4,2.27051655277144e-07,0.010886634671043885,1.0,1.0
大工业电量,纺织业,4,4,2.9356216657561163e-07,0.005665197967505897,1.0,1.0
纺织业,非普工业,4,4,2.2087654677260814e-06,0.004014241617186004,1.5,1.0
黑色金属冶炼,非金属矿物制品业,4,4,1.0080352347241473e-05,0.0011112831345391483,2.0,1.0
电子,工业,4,3,5.8882859445473305e-08,0.002160468847070829,2.0,0.75
制造业,电子,4,3,2.9356216657561163e-07,0.01444651788331814,2.0,0.75
工业,电子,4,3,1.2858277255253151e-06,0.009879431069459892,2.0,0.75
电子,大工业电量,4,3,1.3976740530655514e-06,0.0024321711544724733,1.0,0.75
非金属矿物制品业,纺织业,4,3,3.8726122703613974e-06,0.014698153233221238,1.5,0.75
信息传输,非普工业,4,3,4.7738558206500414e-06,0.016858497027833035,1.5,0.75
电子,非普工业,4,3,4.7738558206500414e-06,0.0032289979048994778,2.0,0.75
大工业电量,电子,4,3,6.189367365183607e-06,0.006407766833066992,2.0,0.75
信息传输,纺织业,4,3,6.242740333959618e-05,0.017826922654271812,1.0,0.75
制造业,非金属矿物制品业,4,3,9.796544513952409e-05,0.015580013196259535,1.5,0.75
合计,纺织业,4,3,0.00015283740848460008,0.023045343055335114,1.0,0.75
批发和零售业,纺织业,4,3,0.00026518780689014065,0.02838567140426211,1.0,0.75
黑色金属冶炼,电子,4,3,0.00026518780689014065,0.017765792784455156,1.0,0.75
商业用电,纺织业,4,3,0.00043274148913399903,0.033325094999211366,1.0,0.75
非普工业,纺织业,4,3,0.001020856339161469,0.024622415098633027,1.0,0.75
黑色金属冶炼,非普工业,4,3,0.0010973808470459263,0.024289561045635316,2.0,0.75
黑色金属冶炼,工业,4,3,0.0012476404771157856,0.030248551819121627,2.0,0.75
黑色金属冶炼,制造业,4,3,0.0015096583864572886,0.03625517402030719,2.0,0.75
黑色金属冶炼,大工业电量,4,3,0.0019121064233565005,0.03352764274386896,1.5,0.75
非普工业,电子,4,2,1.0080352347241473e-05,0.07085050673925906,3.0,0.5
交通仓储和邮政业,非普工业,4,2,1.0742130618642978e-05,0.06699629303168732,1.0,0.5
农业,非普工业,4,2,4.8857801093507824e-05,0.08102463448693738,1.5,0.5
商业用电,非普工业,4,2,6.549659034951749e-05,0.04674200398069144,1.0,0.5
合计,非普工业,4,2,7.39194943598509e-05,0.034607272431818006,1.5,0.5
交通仓储和邮政业,纺织业,4,2,0.00014066704469883895,0.04235995458584653,1.0,0.5
信息传输,非金属矿物制品业,4,2,0.00014066704469883895,0.03175387641622218,1.5,0.5
批发和零售业,非普工业,4,2,0.00014880894271568357,0.0602039895733083,1.0,0.5
交通仓储和邮政业,非金属矿物制品业,4,2,0.00016021859541455187,0.060416447092435877,1.0,0.5
