year,city,value
2023,福州,58145784313
2024,福州,62990614039
2025,福州,66851946038
2023,厦门,34832983759
2024,厦门,39146844119
2025,厦门,41915066325
2023,莆田,14067397175
2024,莆田,14899696056
2025,莆田,15991380783
2023,泉州,58226789760
2024,泉州,61108963047
2025,泉州,63692576032
2023,漳州,30469894691
2024,漳州,33571910210
2025,漳州,34480200755
2023,龙岩,13811880822
2024,龙岩,14230895887
2025,龙岩,14827073811
2023,三明,14920813265
2024,三明,15647673050
2025,三明,15867397807
2023,南平,12895622930
2024,南平,13819635819
2025,南平,14461292606
2023,宁德,30300038496
2024,宁德,33130677504
2025,宁德,36820238377
