year,city,annual_total,delta,growth_rate,contribution_to_total_growth
2024,福州,62990614039.0,4844829726.0,0.0833221149777631,0.232079819042796
2024,厦门,39146844119.0,4313860360.0,0.1238441240017345,0.2066450191947759
2024,漳州,33571910210.0,3102015519.0,0.10180591532914793,0.14859453087773286
2024,泉州,61108963047.0,2882173287.0,0.04949909309580319,0.13806352188339852
2024,宁德,33130677504.0,2830639008.0,0.09342031061688853,0.135594897221393
2024,南平,13819635819.0,924012889.0,0.07165321861655892,0.0442625966649568
2024,莆田,14899696056.0,832298881.0,0.05916509434162614,0.039869259523281256
2024,三明,15647673050.0,726859785.0,0.04871448841900643,0.03481845532506659
2024,龙岩,14230895887.0,419015065.0,0.030337292248611033,0.02007190055401452
2025,福州,66851946038.0,3861331999.0,0.06130011681755151,0.23601894691739717
2025,宁德,36820238377.0,3689560873.0,0.1113638823882954,0.22551965799848658
2025,厦门,41915066325.0,2768222206.0,0.07071380256311485,0.16920401821513356
2025,泉州,63692576032.0,2583612985.0,0.04227878949627892,0.15792001726858323
2025,莆田,15991380783.0,1091684727.0,0.07326892594969321,0.06672782337780694
2025,漳州,34480200755.0,908290545.0,0.027055074892028314,0.05551809012575112
2025,南平,14461292606.0,641656787.0,0.046430802910002504,0.03922044496286801
2025,龙岩,14827073811.0,596177924.0,0.04189321099205088,0.03644060801669492
2025,三明,15867397807.0,219724757.0,0.014042008437797722,0.013430392872783636
