year,variable,annual_total,yoy
2023,合计,267671205224.0,
2024,合计,288546909738.0,0.07799010168662046
2025,合计,304907172545.0,0.05669879750871387
2023,工业,151140861265.0,
2024,工业,164228479329.0,0.08659218926279033
2025,工业,171814683655.0,0.04619298892004298
2023,制造业,140627582745.0,
2024,制造业,152218229221.0,0.08242086118352265
2025,制造业,158655105032.0,0.042287154724776954
2023,大工业电量,138823406503.0,
2024,大工业电量,152570608457.0,0.0990265424275043
2025,大工业电量,158214570568.0,0.03699245987205124
2023,居民生活,63265640036.0,
2024,居民生活,67521514791.0,0.06726992333560977
2025,居民生活,72703689029.0,0.07674848904146225
2023,商业用电,29497924145.0,
2024,商业用电,31491780127.0,0.06759309476148223
2025,商业用电,33203678303.0,0.05436015903503266
2023,非普工业,21052002632.0,
2024,非普工业,21178441913.0,0.006006045277982652
2025,非普工业,20889000204.0,-0.013666808454985135
2023,电子,10711494852.0,
2024,电子,12167034690.0,0.1358857804733229
2025,电子,12995807008.0,0.06811621229954756
2023,纺织业,12177746769.0,
2024,纺织业,13197454337.0,0.08373532372965697
2025,纺织业,12824319149.0,-0.028273269864923067
2023,非金属矿物制品业,14143789296.0,
2024,非金属矿物制品业,14003347473.0,-0.009929575452578221
2025,非金属矿物制品业,13954204512.0,-0.003509372390762544
2023,黑色金属冶炼,15620270010.0,
2024,黑色金属冶炼,17408079092.0,0.11445442881944135
2025,黑色金属冶炼,19140215605.0,0.09950187518369069
