date,全社会用电总计,第一产业,第二产业,第三产业,居民生活,制造业
2022-01-01,608171678.3,12208610.18,354908242.3,104536615.8,136518210.0,323832545.0
2022-01-02,641257538.6,12367538.81,394240569.4,101856735.0,132792695.4,358241767.1
2022-01-03,667482254.4,12367759.68,419255875.5,103144737.7,132713881.6,383195607.4
2022-01-04,679994298.7,12489790.84,434001529.6,107996292.6,125506685.6,395232353.8
2022-01-05,674744917.9,12343599.65,430380843.1,107631644.1,124388831.1,394823827.4
2022-01-06,674466091.8,12357297.58,427020652.6,108857224.4,126230917.2,390987909.8
2022-01-07,674547862.4,12374520.85,425819872.7,109322342.4,127031126.4,391364996.3
2022-01-08,661330642.0,12477040.94,415098259.1,103545318.5,130210023.5,387119482.8
2022-01-09,656657986.9,12509468.9,406012533.1,102094756.8,136041228.1,378043354.4
2022-01-10,663436259.8,12614009.68,413035959.5,108242897.4,129543393.2,382109202.2
2022-01-11,661087814.9,12605442.77,403453258.0,110618289.7,134410824.4,372177316.6
2022-01-12,658312152.6,12600388.48,396062138.8,112243255.7,137406369.5,363051426.3
2022-01-13,654959837.3,12593148.71,394039627.6,111834562.2,136492498.8,360673720.5
2022-01-14,657838398.6,12603780.7,392855633.8,112375387.8,140003596.4,358592568.7
2022-01-15,639691248.0,12621877.78,383128449.6,103873235.2,140067685.4,349420201.2
2022-01-16,619294107.8,12538326.98,362386798.3,103548342.0,140820640.5,333895503.7
2022-01-17,635335888.0,12467586.73,374480962.6,109293441.0,139093897.6,337193517.4
2022-01-18,622644568.1,12457626.29,359581694.1,109289248.9,141315998.9,329117956.8
2022-01-19,610197154.4,12498082.67,353432873.6,106930415.8,137335782.3,321123707.8
2022-01-20,602865473.8,12408348.24,345368977.2,107259709.2,137828439.1,314241503.7
2022-01-21,597053844.0,12214623.25,337396062.9,108237257.8,139205900.0,307179648.9
2022-01-22,581969512.6,12090709.27,324836478.4,102048395.2,142993929.9,296050971.6
2022-01-23,560525941.3,13182909.34,307554034.2,99498315.04,140290682.7,278980263.2
2022-01-24,555179122.4,13030207.74,299027323.3,104846043.6,138275547.8,270385348.7
2022-01-25,527708125.1,11932874.83,272959335.8,103960976.3,138854938.3,246743124.4
2022-01-26,509160708.9,11987099.31,257605927.4,101350405.1,138217277.2,229755104.1
2022-01-27,490730601.7,11999009.61,242709595.0,99170790.66,136851206.4,215347153.0
2022-01-28,475200999.3,11762379.24,224422654.0,98619946.42,140396019.6,197773353.4
2022-01-29,468300278.0,11705288.77,210819577.8,96565784.65,149209626.8,184805195.0
2022-01-30,461990317.9,11367182.72,199904300.8,90321471.29,160397363.1,175938027.5
2022-01-31,482881356.8,11118750.13,194349782.6,78018222.52,199394601.5,167203207.2
2022-02-01,438537156.5,10887056.84,188733687.1,75474656.82,163441755.8,163366579.3
2022-02-02,439860234.8,10866896.57,188712791.1,77783802.19,162496744.9,163418594.9
2022-02-03,452269709.9,11011152.72,193163877.3,83708923.01,164385756.9,168164172.6
2022-02-04,469546640.5,11175830.44,203644896.5,88371585.96,166354327.6,176061491.3
2022-02-05,474983967.5,11249699.99,205257642.1,96068692.95,162407932.5,178340224.9
2022-02-06,486059303.8,11287285.97,217736298.5,93223687.36,163812032.0,190581814.7
2022-02-07,516130610.3,11468851.24,239519109.4,99949072.57,165193577.1,210024459.9
2022-02-08,534194601.2,11541442.33,257524025.9,102564191.2,162564941.8,229558733.0
2022-02-09,547864238.8,11580105.14,274711833.7,103194261.2,158378038.9,245259600.9
2022-02-10,557883460.5,11660179.44,288269814.7,104347045.2,153606421.2,259101827.5
2022-02-11,563562091.8,11675497.63,300994400.4,103491547.8,147400646.0,272195866.0
2022-02-12,563257171.9,11720261.85,308281174.2,98578815.84,144676920.0,279024339.7
2022-02-13,572336118.7,11703374.31,313103361.3,98231351.83,149298031.3,282458240.2
2022-02-14,585729269.5,11580008.43,325681338.0,103803760.3,144664162.8,295450310.6
2022-02-15,581204546.0,11389397.15,320711909.5,101571831.9,147531407.4,289681589.6
2022-02-16,602824931.0,11553135.01,342854294.8,106339896.3,142077605.0,311988353.7
2022-02-17,631467390.2,11637451.51,365634703.7,110234850.2,143960384.8,334303425.3
2022-02-18,650087494.5,11672675.04,378530387.6,112184477.6,147699954.2,346685401.9
2022-02-19,657181219.6,11771689.29,382696751.4,107706726.3,155006052.5,350407327.8
2022-02-20,674639943.8,11818453.5,375342746.9,111991397.5,175487345.8,343966503.3
2022-02-21,704144691.5,11787235.65,392534728.8,124986509.0,174836218.1,359918427.8
2022-02-22,716931837.8,11958831.59,405726796.2,124742898.9,174503311.1,373217370.9
2022-02-23,722465094.6,12154581.11,411260230.0,124819728.1,174230555.4,380380508.6
2022-02-24,708454520.0,11946470.27,413781594.2,119767086.0,162959369.6,380627186.7
2022-02-25,701642614.0,11873042.62,419939515.3,117653826.4,152176229.6,386870799.1
2022-02-26,686792518.5,11858717.93,421872957.4,107346221.2,145714621.9,384903291.4
2022-02-27,666501294.7,11751574.3,410250948.7,103102788.4,141395983.3,376390054.5
2022-02-28,672661375.9,11772738.87,425384181.4,107695434.3,127809021.4,389919814.5
2022-03-01,659914102.6,11896833.54,416831040.5,107478961.3,123707267.3,382240545.2
2022-03-02,669671003.8,11814539.23,427395206.4,108492571.2,121968686.9,396720571.7
