date,全社会用电总计,第一产业,第二产业,第三产业,居民生活,制造业
2022-01-01,18675016982.3,381895280.67,10756149822.7,3227132060.78,4309839818.3,9794599865.9
2022-02-01,16579214047.8,324353636.74,8971855996.1,2908935066.33,4374069348.9,8122266310.6
2022-03-01,20791849545.2,382958090.0,13568988970.9,3080350841.25,3759551643.4,12469466151.9
2022-04-01,20082344340.3,373343079.15999997,13085977551.6,3062965105.08,3560058604.2,12032787613.7
2022-05-01,21080307426.8,381449470.85,13632020166.1,3443586774.4700003,3623251015.5,12534874920.9
2022-06-01,22321552618.0,400563531.16,13032088552.6,4304975562.1,4583924972.4,11864730091.6
2022-07-01,26867473892.6,475236981.4,14045531536.9,5364798431.2,6981906943.1,12787420466.6
2022-08-01,27630510780.7,494595930.0,14497651354.699999,5440081772.0,7198181724.0,13059519219.0
2022-09-01,23980547562.0,453653793.0,13628451081.0,4889790411.0,5008652277.0,12319652118.0
2022-10-01,21626245832.0,425099918.0,13426849162.0,3916301215.0,3857995537.0,12157804986.0
2022-11-01,20055467276.1,410004295.77,12861801536.6,3349798340.9,3433863102.7,11781961598.4
2022-12-01,20819276975.0,426682032.73,12508868606.4,3377057197.79,4506669137.9,11331003326.4
2023-01-01,16483110045.699999,411982342.02,8106330821.9,3117836951.54,4846959930.3,6977407051.2
2023-02-01,18513144043.8,379393189.83,10957682539.6,3207120322.5,3968947992.0,9931809945.6
2023-03-01,21883319324.9,433507270.99,13949029761.2,3581940863.2,3918841429.7,12796615244.0
2023-04-01,21169565513.1,415182770.3,13547645489.5,3575289321.3,3631447932.0,12364260189.4
2023-05-01,22929631818.1,464943855.03,14122443671.0,4328706485.2,4013537807.4,13033347520.9
2023-06-01,25497841727.7,496826939.99,14304556626.1,5228683000.8,5467775160.8,13191839840.1
2023-07-01,28310372678.6,543314222.97,14892323869.1,5708910036.1,7165824550.7,13698843109.1
2023-08-01,28007031870.4,533743196.6,15341443332.2,5617715568.3,6514129774.1,14227830245.8
2023-09-01,25815975859.0,495780287.15,14673299628.2,5282341821.7,5364554122.3,13574050642.1
2023-10-01,23488890750.7,461440310.35,14708187018.6,4362233878.8,3957029542.9,13630873936.7
2023-11-01,22534159855.4,446550918.3,14578716974.4,3871730037.5,3637161925.8,13548343205.9
2023-12-01,23561845480.6,480174892.46,14785355270.8,3970070070.6,4326245247.4,13694729821.9
2024-01-01,23482422162.4,513517360.96,14304472835.5,4008094941.8,4656337024.2,13054517343.2
2024-02-01,16939680979.5,458570492.23,8663288502.2,3339420108.21,4478401877.2,7661401212.9
2024-03-01,23617717232.0,506319612.33,14849595090.2,3962105916.7,4299696612.8,13666340585.0
2024-04-01,23368175795.6,466556122.19,15006690508.8,4075196766.3,3819732398.5,13871620957.4
2024-05-01,24436806931.9,478138003.04,15642463769.2,4416092562.3,3900112597.6,14445843127.8
2024-06-01,26357206243.6,482994522.64,15383025499.3,5191536119.4,5299650102.0,14275885521.4
2024-07-01,30959884852.4,550346093.67,16183830001.3,6298342399.4,7927366357.2,14960084183.3
2024-08-01,30105628992.3,535026721.97,16384162873.5,6029512229.1,7156927167.9,15138136789.7
2024-09-01,28038526314.0,508723244.74,15578828457.2,5817483489.2,6133491123.2,14271974893.7
2024-10-01,24850068438.5,475684747.81,15404130886.1,4741775683.1,4228477122.1,14241702340.1
2024-11-01,23659892853.8,456960001.91,15282941247.4,4102686235.2000003,3817305370.0,14046106963.1
2024-12-01,25239387971.6,487398214.87,16040908194.3,4163628544.6,4547453018.0,14623783098.6
2025-01-01,22195578774.5,495937031.75,12646839073.9,3977617615.14,5075185053.9,11264220776.7
2025-02-01,20047640316.6,446488942.26,11393325865.6,3627583820.7,4580241687.2,10248179536.8
2025-03-01,25265065601.3,498232828.54,16251393738.7,4107820307.8,4407618726.1,14935423386.5
2025-04-01,24627609343.9,477528075.28,15884284608.2,4185236883.0,4080559777.3,14619816222.9
2025-05-01,26308711404.1,511784736.16,16291681589.0,4955943463.3,4549301615.2,15055645806.5
2025-06-01,28776926577.6,544476287.91,16073154703.3,5882914058.8,6276381527.2,14877228645.8
2025-07-01,30749217146.0,572106539.2,16660097586.5,6219355828.4,7297657193.1,15462876109.8
2025-08-01,31748399147.0,567511458.03,17201953507.9,6366076219.3,7612857961.9,15999860113.2
2025-09-01,31162625669.9,557770564.05,17314799530.6,6436374662.3,6853680912.8,15796644405.7
2025-10-01,29168064298.0,550045873.54,16897444347.7,5738890015.7,5981684062.4,15415350819.1
2025-11-01,24796575004.6,476069555.11,15994608255.5,4312500584.8,4013396608.7,14809928605.8
2025-12-01,25815281124.8,519294447.62,16450736719.2,4410119266.5,4435130691.5,15075465078.6
2026-01-01,8502524938.5,178310368.43,5183291621.5,1481954148.5,1658968800.2,4747484022.7
