date,制造业,传统高耗能与材料行业,消费与轻工制造,装备制造,先进制造与技术相关行业,其他制造,装备与先进制造合计
2022-01-01,323832545.0,189233623.74,74670707.23030001,30249759.879,21621055.6882,8057398.481000001,51870815.567200005
2022-01-02,358241767.1,196034586.88000003,90225366.5019,37614563.190000005,24426847.584799998,9940402.9038,62041410.7748
2022-01-03,383195607.4,199989137.045,98132696.15149999,45633321.756,27781740.3162,11658712.1127,73415062.0722
2022-01-04,395232353.8,202343809.419,102101936.80379999,49836828.456,28793342.3426,12156436.7973,78630170.7986
2022-01-05,394823827.4,199584645.399,102295624.26979999,50892582.63999999,29860869.847,12190105.250599999,80753452.48699999
2022-01-06,390987909.8,195801027.022,102680037.1898,50965825.28,29140389.2311,12400631.117999999,80106214.5111
2022-01-07,391364996.3,196791166.97899997,102380370.1296,50796508.552,29037606.119,12359344.501600001,79834114.671
2022-01-08,387119482.8,195199996.499,101400699.79640001,49705869.801,28520181.7007,12292735.0024,78226051.5017
2022-01-09,378043354.4,193871702.127,98540411.1596,46531278.523,27416624.322699998,11683338.248300001,73947902.8457
2022-01-10,382109202.2,191687703.94799998,100454928.034,49255193.048999995,28748969.6949,11962407.449399998,78004162.7439
2022-01-11,372177316.6,180386352.853,101231952.809,49647663.758,28854498.408499997,12056848.804399999,78502162.1665
2022-01-12,363051426.3,172005009.20200002,100571494.79620002,48873937.512,29377892.010399997,12223092.773400001,78251829.52239999
2022-01-13,360673720.5,170911351.466,100010816.4304,48414154.68000001,29231600.175300002,12105797.7762,77645754.85530001
2022-01-14,358592568.7,171779969.56100002,98270770.1936,47370647.819,29275249.611300003,11895931.5161,76645897.4303
2022-01-15,349420201.2,169611790.97,94532447.79429999,44610057.918,29402999.160000004,11262905.313800002,74013057.07800001
2022-01-16,333895503.7,166450548.59199998,89147728.3433,40681602.036,27074256.243199997,10541368.454400001,67755858.27919999
2022-01-17,337193517.4,165574777.71500003,90009610.8316,42731113.754,28171293.731499996,10706721.3285,70902407.4855
2022-01-18,329117956.8,161463532.946,86729860.16610003,42274363.875,28364699.838099997,10285500.021499999,70639063.7131
2022-01-19,321123707.8,158504201.646,84168521.41939999,40495208.559,28150681.236700002,9805094.953100001,68645889.7957
2022-01-20,314241503.7,157175561.237,80939673.03839998,39036594.551,27737152.8034,9352522.0471,66773747.354399994
2022-01-21,307179648.9,156684080.754,77168660.5129,37027037.696,27512098.5536,8787771.3556,64539136.2496
2022-01-22,296050971.6,154190231.715,72402324.5612,33851676.416,27689094.9975,7917643.8578,61540771.413499996
2022-01-23,278980263.2,147608325.352,66148352.385400005,30182098.846,27741007.608700003,7300479.0666000005,57923106.45470001
2022-01-24,270385348.7,144724064.093,62919971.657299995,29770644.516999997,26044204.5773,6926463.856800001,55814849.0943
2022-01-25,246743124.4,130698877.009,57409284.83280001,27393062.341,25183011.5959,6058888.5822,52576073.9369
2022-01-26,229755104.1,124205136.77600001,50864582.281100005,25002853.093099996,24472108.4986,5210423.4264,49474961.591699995
2022-01-27,215347153.0,119078197.836,45209740.951000005,22586130.5561,23998087.467600003,4474996.2295,46584218.0237
2022-01-28,197773353.4,113776772.16099998,39098901.42079999,19350869.6674,21772919.326300003,3773890.8555,41123788.9937
2022-01-29,184805195.0,110728063.585,33495175.988700002,17139301.1673,20283339.5997,3159314.6416000007,37422640.767000005
2022-01-30,175938027.5,110664185.492,27239463.0431,16457189.310800001,18802850.974600002,2774338.7253,35260040.2854
2022-01-31,167203207.2,109762005.21199998,24825107.911500003,12409331.964699998,17679042.4703,2527719.6804000004,30088374.435
2022-02-01,163366579.3,107735130.90699999,25043756.850199997,11093822.194699999,17191650.2622,2302219.1309,28285472.4569
2022-02-02,163418594.9,106497875.72500001,24879417.659899995,11758251.919499999,17746867.7142,2536181.8855,29505119.6337
2022-02-03,168164172.6,107199325.40400001,26844301.2589,13274253.1086,18001385.686899997,2844907.1056,31275638.795499995
2022-02-04,176061491.3,110639912.0,29094844.0806,14738038.9405,18672289.1098,2916407.1455,33410328.050300002
2022-02-05,178340224.9,111606009.54999998,30591517.696600005,15779561.2435,17594978.4023,2768157.9669999997,33374539.645800002
2022-02-06,190581814.7,118674945.491,34131887.6432,16814657.638899997,18003221.7711,2957102.1401,34817879.41
2022-02-07,210024459.9,125526694.035,39380404.1484,19359558.8155,22381722.932399996,3376079.9754,41741281.747899994
2022-02-08,229558733.0,133752291.07,45162648.0834,23091761.923299998,23457147.959799998,4094883.9628999997,46548909.883099996
2022-02-09,245259600.9,138480794.04500002,50290930.444199994,26459572.698,25375136.996799998,4653166.7232,51834709.6948
