,行业,制造业分组,2022用电量,2025用电量,变化量,增长贡献率,2022占制造业比重,2025占制造业比重
13,14.化学原料和化学制品制造业,传统高耗能与材料行业,9804493386.03,17766589673.96,7962096287.929998,0.23906930462521445,0.0699042274662083,0.10236531580193041
18,19.黑色金属冶炼和压延加工业,传统高耗能与材料行业,20112960132.36,24967705277.93,4854745145.57,0.14576821280640348,0.1434016919338835,0.1438558036476091
25,26.电气机械和器材制造业,装备制造,6217867552.448,10385753495.4,4167885942.9519997,0.125144630020267,0.04433224753462553,0.0598393364122007
26,27.计算机、通信和其他电子设备制造业,先进制造与技术相关行业,9927176140.81,12950218133.59,3023041992.7800007,0.09076963163109782,0.07077893285471329,0.07461494824140615
4,5.纺织业,消费与轻工制造,11725737827.7,13614014107.83,1888276280.1299992,0.05669724164417621,0.08360234558213775,0.07843952492033511
20,21.金属制品业,装备制造,6351359096.036,7633053312.674,1281694216.6379995,0.038484054202950056,0.04528401759151466,0.04397917254936454
16,17.橡胶和塑料制品业,传统高耗能与材料行业,6046405625.014,7064807354.244,1018401729.2300005,0.030578453767912118,0.04310975565205472,0.040705124009080315
15,16.化学纤维制造业,传统高耗能与材料行业,3648646467.141,4662048042.375,1013401575.2340002,0.030428319519893176,0.02601417559689721,0.026861205718109994
28,29.其他制造业,其他制造,3133983149.431,4082320231.341,948337081.9099998,0.028474697934288782,0.022344721172972,0.02352100247456708
12,13.石油、煤炭及其他燃料加工业,传统高耗能与材料行业,4822517079.19,5763320541.02,940803461.8300009,0.028248494024074058,0.034383656308413835,0.033206379956754385
5,6.纺织服装、服饰业,消费与轻工制造,4812082033.014,5671816711.977,859734678.9630003,0.025814328843704822,0.0343092563559852,0.03267916463130556
6,7.皮革、毛皮、羽毛及其制品和制鞋业,消费与轻工制造,4387299500.9404,5129532485.015,742232984.0746002,0.022286231785667725,0.03128063533737606,0.029554699150531164
21,22.通用设备制造业,装备制造,2412253609.0601,3097220780.0091,684967170.9489999,0.020566772785468417,0.017198922815755892,0.017845179579884216
1,2.食品制造业,消费与轻工制造,2539919462.218,3194140253.1480002,654220790.9300003,0.01964358429024415,0.018109156775578165,0.01840359808660312
23,24.汽车制造业,装备制造,924143487.8815,1452784066.3422,528640578.46070004,0.015872922270590582,0.006588972427716808,0.00837046965524841
9,10.造纸和纸制品业,消费与轻工制造,2963415832.384,3446177985.581,482762153.197,0.014495380122335031,0.021128607697272837,0.019855757592055122
14,15.医药制造业,先进制造与技术相关行业,1043401824.133,1389301369.726,345899545.59300005,0.010385953754472257,0.00743926234442428,0.00800470298835679
0,1.农副食品加工业,消费与轻工制造,3886800018.049,4226080929.78,339280911.7310004,0.010187223151659047,0.027712166440389336,0.024349304898705536
19,20.有色金属冶炼和压延加工业,传统高耗能与材料行业,10269180165.55,10595411166.7,326231001.1500015,0.009795387517524592,0.0732173584008867,0.061047315778346455
7,8.木材加工和木、竹、藤、棕、草制品业,消费与轻工制造,2076414425.9521,2347105434.9588,270691009.0066998,0.008127747888408648,0.014804451452095434,0.013523258738964993
24,25.铁路、船舶、航空航天和其他运输设备制造业,装备制造,819048261.9426,1065573180.2766,246524918.334,0.00740213866645157,0.005839662872353828,0.006139486367997439
22,23.专用设备制造业,装备制造,1431793132.601,1673750502.084,241957369.48300004,0.0072649937879971874,0.01020842065827765,0.009643606446913543
8,9.家具制造业,消费与轻工制造,880371850.9964,1057083322.9204,176711471.92400002,0.005305925372468971,0.0062768887390538,0.0060905705689989105
11,12.文教、工美、体育和娱乐用品制造业,消费与轻工制造,1141202506.5126,1301913517.3231,160711010.81050014,0.004825496729840525,0.008136563151129423,0.0075012025826719265
27,28.仪器仪表制造业,先进制造与技术相关行业,320039161.9038,476262272.4265,156223110.5227,0.004690743373157543,0.0022818201299105293,0.0027440684349759725
10,11.印刷和记录媒介复制业,消费与轻工制造,551226451.9416,665564526.3384,114338074.39680004,0.00343310642696781,0.003930142819701488,0.00383476650136463
2,3.酒、饮料及精制茶制造业,消费与轻工制造,1007975210.9249,1101652888.001,93677677.07609987,0.0028127588900725294,0.007186677133689679,0.006347365918492305
3,4.烟草制品业,消费与轻工制造,275200183.3641,294647140.7418,19446957.37770003,0.0005839128803818612,0.0019621264923322997,0.001697661068650518
29,30.废弃资源综合利用业,其他制造,807559485.939,820244355.5885,12684869.649500012,0.0003808749425656428,0.005757750020823091,0.004725981408667993
30,31.金属制品、机械和设备修理业,其他制造,320341323.75879997,320425022.6842,83698.92540001869,2.513137642356039e-06,0.002283974488143217,0.0018461848469424327
17,18.非金属矿物制品业,传统高耗能与材料行业,15595272284.38,15344121425.005,-251150859.375,-0.007541036824413515,0.11119141175801059,0.0884078410206064
