date,制造业,传统高耗能与材料行业,消费与轻工制造,装备制造,先进制造与技术相关行业,其他制造,装备与先进制造合计
2022-01-01,9794599865.9,5056520435.231,2455277218.6348,1176787271.1634,822165715.7357,283849225.13130003,1998952986.8990998
2022-02-01,8122266310.6,4381242120.566,1902133286.8104,941317721.3895,700977737.8985,196595444.0028,1642295459.288
2022-03-01,12469466151.9,6442794168.33,3138028408.6686,1598538323.106,932405456.5379,357699795.546,2530943779.6439
2022-04-01,12032787613.7,6224340507.66,3032769305.5498,1473292690.1474,954125056.1109,348260054.176,2427417746.2583
2022-05-01,12534874920.9,6423294856.841,3216172859.0645,1546744968.1479,984075084.4995,364587152.2175,2530820052.6474
2022-06-01,11864730091.6,5814286849.763,3155094208.1867,1547265921.93,983086566.5169,364996545.326,2530352488.4469
2022-07-01,12787420466.6,6114525174.02,3459570392.57,1717631983.457,1075594030.688,420098885.917,2793226014.145
2022-08-01,13059519219.0,6217289363.0,3568874664.0,1762693414.0,1083486000.0,427175778.0,2846179414.0
2022-09-01,12319652118.0,5920937978.0,3351983661.0,1655184682.0,998956316.0,392589481.0,2654140998.0
2022-10-01,12157804986.0,6052686258.0,3182021255.0,1602775401.0,941893228.0,378428844.0,2544668629.0
2022-11-01,11781961598.4,5943002367.206,2950664515.1182,1606206586.361,918555040.6333,363533089.3169,2524761626.9943
2022-12-01,11331003326.4,5708555061.048,2835055529.3941,1528026177.267,895296894.2261,364069664.4953,2423323071.4931
2023-01-01,6977407051.2,3990618897.823,1389944704.5582001,726959311.1383,693615165.0199,176268972.439,1420574476.1581998
2023-02-01,9931809945.6,4990923212.963,2553379656.6386,1317102009.408,785414846.2608,284990220.303,2102516855.6687999
2023-03-01,12796615244.0,6451358453.91,3312823167.9364,1711112105.0019999,930629187.0181,390692329.9967,2641741292.0200996
2023-04-01,12364260189.4,6248093205.84,3215086807.8919,1610083594.715,936435878.4603,354560702.5353,2546519473.1752996
2023-05-01,13033347520.9,6511032838.981,3416975383.0104,1707542590.013,1020316012.0194,377480697.01240003,2727858602.0324
2023-06-01,13191839840.1,6428155556.22,3499251599.0064,1790641244.979,1076256769.0185,397534671.009,2866898013.9975004
2023-07-01,13698843109.1,6560438184.973,3659764109.0341,1916927833.98,1139185827.0021,422527153.9927,3056113660.9821
2023-08-01,14227830245.8,6841690993.52,3796565224.914,1981441386.472,1172235314.8347,435896674.0586,3153676701.3066998
2023-09-01,13574050642.1,6621772516.29,3607344464.301,1833760973.547,1106627958.0323,404544503.7756,2940388931.5793
2023-10-01,13630873936.7,6880445751.524,3508398911.9486,1809338900.7557,1044854085.3768,387836287.3501,2854192986.1325
2023-11-01,13548343205.9,6967945766.7699995,3368858873.8069,1831586336.93,1012851682.6791,367100545.7233,2844438019.6091003
2023-12-01,13694729821.9,7077541453.97,3401226497.5842,1821130199.697,1024063637.0712,370768033.4701,2845193836.7682
2024-01-01,13054517343.2,6648790230.571,3284300693.6588,1732081889.723,1028329756.4352,361014773.0657,2760411646.1582003
2024-02-01,7661401212.9,4384853691.33,1533205969.9153,826278642.1189001,769376744.0599,147686165.5278,1595655386.1788
2024-03-01,13666340585.0,6778894943.6,3526299079.3659,1910630513.354,1063746786.9987,386769261.85510004,2974377300.3527
