目标变量,行业,制造业分组,最佳滞后月数,相关系数,相关系数绝对值,有效样本数
制造业同比增长率,30.废弃资源综合利用业,其他制造,1,-0.42389051989553905,0.42389051989553905,35
制造业同比增长率,25.铁路、船舶、航空航天和其他运输设备制造业,装备制造,1,-0.400672953189886,0.400672953189886,35
制造业同比增长率,15.医药制造业,先进制造与技术相关行业,1,-0.3778539556904055,0.3778539556904055,35
制造业同比增长率,29.其他制造业,其他制造,1,-0.3592501033832076,0.3592501033832076,35
制造业同比增长率,31.金属制品、机械和设备修理业,其他制造,1,-0.3583957447815938,0.3583957447815938,35
制造业同比增长率,2.食品制造业,消费与轻工制造,1,-0.339610452643389,0.339610452643389,35
制造业同比增长率,11.印刷和记录媒介复制业,消费与轻工制造,1,-0.3330223771327096,0.3330223771327096,35
制造业同比增长率,28.仪器仪表制造业,先进制造与技术相关行业,1,-0.33201074365129013,0.33201074365129013,35
制造业同比增长率,21.金属制品业,装备制造,1,-0.323642427666914,0.323642427666914,35
制造业同比增长率,22.通用设备制造业,装备制造,1,-0.32009648200866875,0.32009648200866875,35
制造业同比增长率,12.文教、工美、体育和娱乐用品制造业,消费与轻工制造,1,-0.31875950024896943,0.31875950024896943,35
制造业同比增长率,17.橡胶和塑料制品业,传统高耗能与材料行业,1,-0.31522991095044295,0.31522991095044295,35
制造业同比增长率,1.农副食品加工业,消费与轻工制造,1,-0.31508713289239965,0.31508713289239965,35
制造业同比增长率,7.皮革、毛皮、羽毛及其制品和制鞋业,消费与轻工制造,1,-0.3076030269139446,0.3076030269139446,35
制造业同比增长率,8.木材加工和木、竹、藤、棕、草制品业,消费与轻工制造,1,-0.29956428844720606,0.29956428844720606,35
制造业同比增长率,18.非金属矿物制品业,传统高耗能与材料行业,1,-0.29873442803206124,0.29873442803206124,35
制造业同比增长率,6.纺织服装、服饰业,消费与轻工制造,1,-0.2986789868938173,0.2986789868938173,35
制造业同比增长率,23.专用设备制造业,装备制造,1,-0.2881631427508158,0.2881631427508158,35
制造业同比增长率,16.化学纤维制造业,传统高耗能与材料行业,4,0.28736659134717923,0.28736659134717923,32
制造业同比增长率,9.家具制造业,消费与轻工制造,1,-0.28380296572663055,0.28380296572663055,35
制造业同比增长率,26.电气机械和器材制造业,装备制造,1,-0.28274788331408035,0.28274788331408035,35
制造业同比增长率,5.纺织业,消费与轻工制造,1,-0.25400631647665406,0.25400631647665406,35
制造业同比增长率,4.烟草制品业,消费与轻工制造,1,-0.2525978961352796,0.2525978961352796,35
制造业同比增长率,24.汽车制造业,装备制造,1,-0.25054033653078256,0.25054033653078256,35
制造业同比增长率,3.酒、饮料及精制茶制造业,消费与轻工制造,1,-0.2470412000247604,0.2470412000247604,35
制造业同比增长率,27.计算机、通信和其他电子设备制造业,先进制造与技术相关行业,1,-0.24418002874054728,0.24418002874054728,35
制造业同比增长率,20.有色金属冶炼和压延加工业,传统高耗能与材料行业,3,0.24383983481971241,0.24383983481971241,33
制造业同比增长率,14.化学原料和化学制品制造业,传统高耗能与材料行业,2,0.19430152625265287,0.19430152625265287,34
制造业同比增长率,10.造纸和纸制品业,消费与轻工制造,1,-0.18075557430047356,0.18075557430047356,35
制造业同比增长率,13.石油、煤炭及其他燃料加工业,传统高耗能与材料行业,3,-0.1693775880865391,0.1693775880865391,33
制造业同比增长率,19.黑色金属冶炼和压延加工业,传统高耗能与材料行业,6,-0.12529758144970918,0.12529758144970918,30
结构转型差值T同比变化,28.仪器仪表制造业,先进制造与技术相关行业,1,-0.6479011800635539,0.6479011800635539,35
结构转型差值T同比变化,21.金属制品业,装备制造,1,-0.6401459249601761,0.6401459249601761,35
结构转型差值T同比变化,23.专用设备制造业,装备制造,1,-0.6330841685460377,0.6330841685460377,35
结构转型差值T同比变化,12.文教、工美、体育和娱乐用品制造业,消费与轻工制造,1,-0.6210650883338026,0.6210650883338026,35
结构转型差值T同比变化,30.废弃资源综合利用业,其他制造,1,-0.6191958609184588,0.6191958609184588,35
结构转型差值T同比变化,3.酒、饮料及精制茶制造业,消费与轻工制造,1,-0.6188715226582008,0.6188715226582008,35
结构转型差值T同比变化,17.橡胶和塑料制品业,传统高耗能与材料行业,1,-0.6154785206862277,0.6154785206862277,35
结构转型差值T同比变化,9.家具制造业,消费与轻工制造,1,-0.6132087110783049,0.6132087110783049,35
结构转型差值T同比变化,11.印刷和记录媒介复制业,消费与轻工制造,1,-0.6130924421250886,0.6130924421250886,35
结构转型差值T同比变化,10.造纸和纸制品业,消费与轻工制造,1,-0.6116990214239396,0.6116990214239396,35
结构转型差值T同比变化,22.通用设备制造业,装备制造,1,-0.6109435361263773,0.6109435361263773,35
结构转型差值T同比变化,6.纺织服装、服饰业,消费与轻工制造,1,-0.6090829651373826,0.6090829651373826,35
结构转型差值T同比变化,5.纺织业,消费与轻工制造,1,-0.6076368819867733,0.6076368819867733,35
结构转型差值T同比变化,24.汽车制造业,装备制造,1,-0.6045102718421607,0.6045102718421607,35
结构转型差值T同比变化,8.木材加工和木、竹、藤、棕、草制品业,消费与轻工制造,1,-0.5978879541772534,0.5978879541772534,35
结构转型差值T同比变化,7.皮革、毛皮、羽毛及其制品和制鞋业,消费与轻工制造,1,-0.596105987046425,0.596105987046425,35
结构转型差值T同比变化,31.金属制品、机械和设备修理业,其他制造,1,-0.5872388761775394,0.5872388761775394,35
结构转型差值T同比变化,18.非金属矿物制品业,传统高耗能与材料行业,1,-0.5820181110023317,0.5820181110023317,35
结构转型差值T同比变化,26.电气机械和器材制造业,装备制造,1,-0.5804307934981293,0.5804307934981293,35
结构转型差值T同比变化,27.计算机、通信和其他电子设备制造业,先进制造与技术相关行业,1,-0.5802314696232929,0.5802314696232929,35
结构转型差值T同比变化,16.化学纤维制造业,传统高耗能与材料行业,1,-0.5692771973695397,0.5692771973695397,35
结构转型差值T同比变化,29.其他制造业,其他制造,1,-0.5568590540103018,0.5568590540103018,35
结构转型差值T同比变化,2.食品制造业,消费与轻工制造,1,-0.553765630851506,0.553765630851506,35
结构转型差值T同比变化,1.农副食品加工业,消费与轻工制造,1,-0.5461910610685781,0.5461910610685781,35
结构转型差值T同比变化,19.黑色金属冶炼和压延加工业,传统高耗能与材料行业,1,-0.5247606187409622,0.5247606187409622,35
