目标变量,行业,制造业分组,滞后月数,回测样本数,基线MAE,加入行业后MAE,MAE改善率,滞后相关系数
制造业同比增长率,15.医药制造业,先进制造与技术相关行业,1,23,0.10161484110892222,0.08232327828916124,0.189849854698706,-0.3778539556904055
制造业同比增长率,22.通用设备制造业,装备制造,1,23,0.10161484110892222,0.09517057198852018,0.06341858187323587,-0.32009648200866875
制造业同比增长率,11.印刷和记录媒介复制业,消费与轻工制造,1,23,0.10161484110892222,0.10011022935873756,0.014807007852050287,-0.3330223771327096
制造业同比增长率,31.金属制品、机械和设备修理业,其他制造,1,23,0.10161484110892222,0.1032709667395944,-0.01629806839826643,-0.3583957447815938
制造业同比增长率,25.铁路、船舶、航空航天和其他运输设备制造业,装备制造,1,23,0.10161484110892222,0.10329494003665844,-0.016533991584313033,-0.400672953189886
制造业同比增长率,29.其他制造业,其他制造,1,23,0.10161484110892222,0.1122360430578742,-0.10452412101463589,-0.3592501033832076
制造业同比增长率,2.食品制造业,消费与轻工制造,1,23,0.10161484110892222,0.11418085049873064,-0.1236631308249428,-0.339610452643389
制造业同比增长率,17.橡胶和塑料制品业,传统高耗能与材料行业,1,23,0.10161484110892222,0.11444170394289403,-0.1262302110006012,-0.31522991095044295
制造业同比增长率,28.仪器仪表制造业,先进制造与技术相关行业,1,23,0.10161484110892222,0.11616191227697792,-0.14315892254815923,-0.33201074365129013
制造业同比增长率,30.废弃资源综合利用业,其他制造,1,23,0.10161484110892222,0.11732450357362083,-0.15460007901659983,-0.42389051989553905
制造业同比增长率,12.文教、工美、体育和娱乐用品制造业,消费与轻工制造,1,23,0.10161484110892222,0.13581768558831214,-0.3365930026178703,-0.31875950024896943
制造业同比增长率,21.金属制品业,装备制造,1,23,0.10161484110892222,0.14318493256628156,-0.40909468541903093,-0.323642427666914
