目标变量,行业,制造业分组,滞后月数,回测样本数,基线MAE,加入行业后MAE,MAE改善率,滞后相关系数
结构转型差值T同比变化,30.废弃资源综合利用业,其他制造,1,23,0.022673044133610105,0.015491824103578064,0.31672941611694444,-0.6191958609184588
结构转型差值T同比变化,28.仪器仪表制造业,先进制造与技术相关行业,1,23,0.022673044133610105,0.015498175580430847,0.31644928272085726,-0.6479011800635539
结构转型差值T同比变化,21.金属制品业,装备制造,1,23,0.022673044133610105,0.015598002453446119,0.3120463947616136,-0.6401459249601761
结构转型差值T同比变化,23.专用设备制造业,装备制造,1,23,0.022673044133610105,0.016107148659035165,0.2895903803601642,-0.6330841685460377
结构转型差值T同比变化,12.文教、工美、体育和娱乐用品制造业,消费与轻工制造,1,23,0.022673044133610105,0.016307832243409485,0.28073918317677277,-0.6210650883338026
结构转型差值T同比变化,17.橡胶和塑料制品业,传统高耗能与材料行业,1,23,0.022673044133610105,0.017181568947594938,0.24220281818596673,-0.6154785206862277
结构转型差值T同比变化,9.家具制造业,消费与轻工制造,1,23,0.022673044133610105,0.0172803207207178,0.23784734776298658,-0.6132087110783049
结构转型差值T同比变化,10.造纸和纸制品业,消费与轻工制造,1,23,0.022673044133610105,0.01730238059793611,0.23687439163551147,-0.6116990214239396
结构转型差值T同比变化,11.印刷和记录媒介复制业,消费与轻工制造,1,23,0.022673044133610105,0.01756533068750618,0.2252769154421723,-0.6130924421250886
结构转型差值T同比变化,6.纺织服装、服饰业,消费与轻工制造,1,23,0.022673044133610105,0.018202263012885717,0.19718486385764958,-0.6090829651373826
结构转型差值T同比变化,3.酒、饮料及精制茶制造业,消费与轻工制造,1,23,0.022673044133610105,0.018733328108111416,0.17376211161952118,-0.6188715226582008
结构转型差值T同比变化,22.通用设备制造业,装备制造,1,23,0.022673044133610105,0.01889560948001839,0.16660465314369124,-0.6109435361263773
