目标变量,行业,制造业分组,滞后月数,回测样本数,基线MAE,加入行业后MAE,MAE改善率,滞后相关系数
结构转型比值R同比变化,21.金属制品业,装备制造,1,23,0.024633347290943443,0.0154514861841552,0.37274110571907515,-0.602326710484114
结构转型比值R同比变化,30.废弃资源综合利用业,其他制造,1,23,0.024633347290943443,0.0157234073028737,0.3617023656117381,-0.5748063945421347
结构转型比值R同比变化,12.文教、工美、体育和娱乐用品制造业,消费与轻工制造,1,23,0.024633347290943443,0.01574608393384663,0.36078179924675746,-0.5739678052071734
结构转型比值R同比变化,28.仪器仪表制造业,先进制造与技术相关行业,1,23,0.024633347290943443,0.015993497066455472,0.35073797005510693,-0.6103328509289109
结构转型比值R同比变化,17.橡胶和塑料制品业,传统高耗能与材料行业,1,23,0.024633347290943443,0.016272314460034153,0.33941927307553776,-0.5802671518331087
结构转型比值R同比变化,23.专用设备制造业,装备制造,1,23,0.024633347290943443,0.01629434658852179,0.3385248705314004,-0.580789648546692
结构转型比值R同比变化,9.家具制造业,消费与轻工制造,1,23,0.024633347290943443,0.01631287868283507,0.3377725531912356,-0.5765926054095313
结构转型比值R同比变化,24.汽车制造业,装备制造,1,23,0.024633347290943443,0.01680181178550456,0.31792412995850466,-0.5912032894146894
结构转型比值R同比变化,10.造纸和纸制品业,消费与轻工制造,1,23,0.024633347290943443,0.017324357562053864,0.2967111875850003,-0.6225437272031149
结构转型比值R同比变化,20.有色金属冶炼和压延加工业,传统高耗能与材料行业,1,23,0.024633347290943443,0.018758131600544525,0.23850659112653225,-0.5731528443459566
结构转型比值R同比变化,16.化学纤维制造业,传统高耗能与材料行业,1,23,0.024633347290943443,0.01907907324386535,0.2254778443821212,-0.5920872237065917
结构转型比值R同比变化,3.酒、饮料及精制茶制造业,消费与轻工制造,1,23,0.024633347290943443,0.01947711915523267,0.20931902087080473,-0.6071381528544352
