行业,制造业分组,平均占比,2025平均占比,最大月度占比,同比增长率均值,同比增长率标准差,与制造业同比相关,增长贡献率,2022占制造业比重,2025占制造业比重,前置信号摘要,数据行为标签
19.黑色金属冶炼和压延加工业,传统高耗能与材料行业,0.14005395797615003,0.14404346051138717,0.17723382570346422,0.08396156478305408,0.15585606306234065,0.7688483459919142,0.1457682128064034,0.1434016919338835,0.1438558036476091,"制造业同比增长率:证据较弱,lag=1,q=0.6178,gain=-59.52%；结构转型比值R同比变化:较稳健前置信号候选,lag=1,q=0.0064,gain=15.15%；结构转型差值T同比变化:较稳健前置信号候选,lag=1,q=0.0102,gain=14.80%",存量主导、增长拉动
14.化学原料和化学制品制造业,传统高耗能与材料行业,0.08766102069287846,0.1030901537632732,0.12898011759208702,0.22466467807968385,0.13672760934674336,0.4154983291221441,0.2390693046252144,0.0699042274662083,0.1023653158019304,"结构转型比值R同比变化:仅相关或检验候选,lag=3,q=0.0406,gain=1.21%；结构转型差值T同比变化:证据较弱,lag=3,q=0.1631,gain=0.43%；制造业同比增长率:证据较弱,lag=1,q=0.2428,gain=-12.63%",存量主导、增长拉动
18.非金属矿物制品业,传统高耗能与材料行业,0.09819698067658837,0.08799949762801212,0.12013200050699281,0.02765297384218062,0.2842805777334306,0.9515936830929483,-0.0075410368244135,0.1111914117580105,0.0884078410206064,"制造业同比增长率:证据较弱,lag=2,q=0.4234,gain=-9.12%；结构转型比值R同比变化:较稳健前置信号候选,lag=3,q=0.0076,gain=34.28%；结构转型差值T同比变化:较稳健前置信号候选,lag=3,q=0.0241,gain=29.77%",存量主导
5.纺织业,消费与轻工制造,0.08171646675601309,0.07844482681961212,0.08816004798260597,0.0775103847865437,0.2786129858485358,0.9841638869764449,0.0566972416441762,0.0836023455821377,0.0784395249203351,"制造业同比增长率:证据较弱,lag=1,q=0.5953,gain=-4.19%；结构转型比值R同比变化:较稳健前置信号候选,lag=1,q=0.0005,gain=26.47%；结构转型差值T同比变化:较稳健前置信号候选,lag=3,q=0.0298,gain=21.76%",存量主导、增长拉动
27.计算机、通信和其他电子设备制造业,先进制造与技术相关行业,0.07259578855329997,0.07484770983538026,0.09034879853107033,0.09593179954971541,0.09072731391494322,0.9115014089327335,0.0907696316310978,0.0707789328547132,0.0746149482414061,"制造业同比增长率:证据较弱,lag=1,q=0.7748,gain=-11.98%；结构转型比值R同比变化:较稳健前置信号候选,lag=3,q=0.0044,gain=26.97%；结构转型差值T同比变化:较稳健前置信号候选,lag=3,q=0.0129,gain=20.24%",存量主导、增长拉动
20.有色金属冶炼和压延加工业,传统高耗能与材料行业,0.07237044989212697,0.06170422271144829,0.11320307102696572,0.031145342032125316,0.20976209464609916,0.5417655210115496,0.0097953875175245,0.0732173584008867,0.0610473157783464,"结构转型差值T同比变化:仅相关或检验候选,lag=1,q=0.0055,gain=17.70%；制造业同比增长率:仅相关或检验候选,lag=1,q=0.1920,gain=-1.82%；结构转型比值R同比变化:有预测增益候选,lag=1,q=0.0005,gain=23.85%",存量主导
26.电气机械和器材制造业,装备制造,0.05135262140986172,0.05975910857024049,0.06304388464330837,0.19983635759554122,0.1902371147585381,0.9625242328660546,0.125144630020267,0.0443322475346255,0.0598393364122007,"制造业同比增长率:证据较弱,lag=1,q=0.3392,gain=-10.48%；结构转型比值R同比变化:较稳健前置信号候选,lag=1,q=0.0005,gain=28.43%；结构转型差值T同比变化:较稳健前置信号候选,lag=1,q=0.0030,gain=21.86%",存量主导、增长拉动
21.金属制品业,装备制造,0.04447160472284595,0.043731302038752286,0.04882164729481336,0.11003368523387988,0.3828509000373769,0.9748344046848871,0.03848405420295,0.0452840175915146,0.0439791725493645,"制造业同比增长率:仅相关或检验候选,lag=2,q=0.1476,gain=-29.35%；结构转型比值R同比变化:较稳健前置信号候选,lag=1,q=0.0003,gain=37.27%；结构转型差值T同比变化:较稳健前置信号候选,lag=1,q=0.0020,gain=31.20%",存量主导、增长拉动、高波动
17.橡胶和塑料制品业,传统高耗能与材料行业,0.0417576875373887,0.040581843805859226,0.04594266161637203,0.08387259180306307,0.2875251427017193,0.9713612173954834,0.0305784537679121,0.0431097556520547,0.0407051240090803,"制造业同比增长率:仅相关或检验候选,lag=1,q=0.1901,gain=-12.62%；结构转型比值R同比变化:较稳健前置信号候选,lag=3,q=0.0023,gain=36.49%；结构转型差值T同比变化:较稳健前置信号候选,lag=3,q=0.0076,gain=26.29%",增长拉动
13.石油、煤炭及其他燃料加工业,传统高耗能与材料行业,0.03382565675557515,0.03364849860664219,0.057196448345573345,0.07217013749954086,0.15841157839554512,-0.09436722179875268,0.028248494024074,0.0343836563084138,0.0332063799567543,"结构转型比值R同比变化:证据较弱,lag=1,q=0.9965,gain=-11.59%；结构转型差值T同比变化:证据较弱,lag=3,q=0.3771,gain=-17.55%；制造业同比增长率:证据较弱,lag=1,q=0.8301,gain=-70.83%",一般结构项
