,1.农副食品加工业,2.食品制造业,3.酒、饮料及精制茶制造业,4.烟草制品业,5.纺织业,6.纺织服装、服饰业,7.皮革、毛皮、羽毛及其制品和制鞋业,8.木材加工和木、竹、藤、棕、草制品业,9.家具制造业,10.造纸和纸制品业,11.印刷和记录媒介复制业,12.文教、工美、体育和娱乐用品制造业,13.石油、煤炭及其他燃料加工业,14.化学原料和化学制品制造业,15.医药制造业,16.化学纤维制造业,17.橡胶和塑料制品业,18.非金属矿物制品业,19.黑色金属冶炼和压延加工业,20.有色金属冶炼和压延加工业,21.金属制品业,22.通用设备制造业,23.专用设备制造业,24.汽车制造业,25.铁路、船舶、航空航天和其他运输设备制造业,26.电气机械和器材制造业,27.计算机、通信和其他电子设备制造业,28.仪器仪表制造业,29.其他制造业,30.废弃资源综合利用业,31.金属制品、机械和设备修理业
1.农副食品加工业,1.0,0.9479876386741001,0.8290517248963759,0.7260632309994183,0.8161989080254325,0.8252748574995342,0.8275510158582295,0.8566685225484588,0.8454871180435193,0.8688708146377174,0.8817041427793502,0.8592204559533086,-0.09579428716759682,0.1069735482534959,0.6762518874080979,0.5468198707451511,0.8862900090533434,0.8954866067372584,0.48556281406795543,0.46738877758073805,0.8616710500725524,0.8585976954382039,0.8333259072175631,0.8704817087323079,0.8648999460392754,0.8435871008442831,0.7186081418900148,0.9333057459501397,0.8574514810014645,0.8733097199533878,0.8858222718959456
2.食品制造业,0.9479876386741001,1.0,0.8287583990809235,0.7385647346417984,0.9077873275001042,0.9226362756018104,0.9275928820343402,0.9360678335243477,0.9255450368237842,0.8999899965245813,0.9572811900922968,0.9364907140626184,-0.15663539843738944,0.19835152322622088,0.7360492599773922,0.6356400644331348,0.9585291290609207,0.9615947759031113,0.571127431744951,0.45286695238299507,0.9417759038935578,0.9359352383485268,0.8948557742350909,0.9371131851496273,0.9352184462067961,0.8998631390213657,0.7780388219102545,0.9252128692173794,0.8910122267515732,0.9522587835500548,0.9239196866729645
3.酒、饮料及精制茶制造业,0.8290517248963759,0.8287583990809235,1.0,0.6049958725505983,0.8386480033515471,0.8171153408662951,0.7941198720328021,0.8209120221788244,0.8260414113988713,0.884128453595287,0.8112105188833765,0.8087557086613508,-0.08002546758085202,0.32036015320037353,0.5200932318517772,0.7373595127787018,0.8137277054655002,0.7881223119378468,0.5021888360463999,0.6477965913694934,0.8217915396531594,0.7890052239803419,0.8267577554238926,0.8001338310629438,0.6913571760386229,0.7982147993771886,0.786798768857906,0.8125174741447271,0.7029284315587965,0.771202135271841,0.744813203415927
4.烟草制品业,0.7260632309994183,0.7385647346417984,0.6049958725505983,1.0,0.6656322280280346,0.7051442743733113,0.7360711005617737,0.6950342146577041,0.7569199112481086,0.6718687698448729,0.7940652231407652,0.7904117813244931,-0.1278244779023356,0.07479342864432899,0.6535269744985083,0.5056359082951581,0.800759582868147,0.7672185589154856,0.4924350158271985,0.23405035905164617,0.7716094790745172,0.7734342540894475,0.7549722255337951,0.7501140188839289,0.8314324000722542,0.7558292353202565,0.642610008117958,0.7359268571682916,0.8460133457664812,0.7787480912166976,0.7768632139457137
5.纺织业,0.8161989080254325,0.9077873275001042,0.8386480033515471,0.6656322280280346,1.0,0.9895111818653367,0.9748233781101183,0.9815083348815191,0.9825136988569664,0.924511065248652,0.9617093403601771,0.9707118917507453,-0.12431839663279377,0.41870335659765806,0.7234474029417578,0.7977221485728597,0.9632395975234677,0.9412050384331558,0.7203233120394582,0.5251322460912026,0.9753465290909902,0.9638210605203719,0.9619635525996167,0.9183654192611426,0.8533776507463716,0.9585476154960949,0.9020586727188901,0.8801847857196415,0.8253334463263768,0.9082060279851866,0.894568099171102
6.纺织服装、服饰业,0.8252748574995342,0.9226362756018104,0.8171153408662951,0.7051442743733113,0.9895111818653367,1.0,0.9945017499366314,0.986971265932506,0.9909826280136291,0.9118995539019626,0.9817089921495983,0.9853675143189057,-0.10765798139371222,0.3685084610196646,0.7517404019719928,0.7465629191333416,0.9772944934237686,0.9569884232311199,0.7026422431956462,0.48423729599351123,0.9897613022209334,0.9833181326154008,0.9589343382223129,0.931575050417429,0.8885929891447604,0.9580906200533503,0.8825106139198154,0.8926437435180572,0.8578932991007249,0.9345662872656709,0.9151671292393372
7.皮革、毛皮、羽毛及其制品和制鞋业,0.8275510158582295,0.9275928820343402,0.7941198720328021,0.7360711005617737,0.9748233781101183,0.9945017499366314,1.0,0.9839693487918603,0.9905449087234804,0.9019922828835125,0.9888314643245099,0.98569043119093,-0.10314810685456687,0.33383245393833627,0.7452614422533497,0.7009942642043946,0.9838540465598425,0.965941763512456,0.6724290027771839,0.4607121773547615,0.992543199233563,0.9898591766541353,0.9433408661404806,0.9372942128665294,0.9118272130481437,0.9474103835340449,0.8485561443617757,0.8847792539284227,0.8710204713896958,0.9441354236140979,0.9275872426630908
8.木材加工和木、竹、藤、棕、草制品业,0.8566685225484588,0.9360678335243477,0.8209120221788244,0.6950342146577041,0.9815083348815191,0.986971265932506,0.9839693487918603,1.0,0.9822156141759413,0.9094401118971605,0.9740660832716043,0.9797556230202787,-0.10925612570043226,0.33836186854557837,0.747710305133594,0.7250701897775282,0.9761446725236332,0.9734346084091552,0.6804218855022932,0.48196386123560186,0.9868583811183078,0.9855205498670224,0.9417917894312299,0.9218019852817821,0.9012578905816891,0.9461200552548186,0.8619874291802966,0.8926923231848458,0.864252798441333,0.9409784519555304,0.9275436474359356
9.家具制造业,0.8454871180435193,0.9255450368237842,0.8260414113988713,0.7569199112481086,0.9825136988569664,0.9909826280136291,0.9905449087234804,0.9822156141759413,1.0,0.9205113074663579,0.9884088386602644,0.9906925941356147,-0.13172816026593362,0.3865764987086279,0.7525146352097456,0.732882397604903,0.9874184247831957,0.9584203106497818,0.7004370975092973,0.48189508273751325,0.9913122398618877,0.9835325433721448,0.9710316455202133,0.9275463323597201,0.900364144612833,0.9674401300319281,0.8926166815835664,0.9005786058737295,0.8653786021563565,0.9422291394927522,0.9185929303972947
10.造纸和纸制品业,0.8688708146377174,0.8999899965245813,0.884128453595287,0.6718687698448729,0.924511065248652,0.9118995539019626,0.9019922828835125,0.9094401118971605,0.9205113074663579,1.0,0.9092183701203504,0.8930917717387271,-0.03889625932024848,0.33932155207250003,0.5240574115999159,0.7908232720333586,0.9135898646452761,0.8881315004140664,0.554397880004161,0.7326544586855404,0.920708389798517,0.8907169611274006,0.8811400214065018,0.8976177779932228,0.7768063481442662,0.8912341748362077,0.8006394438810928,0.8681953946816564,0.753868569927982,0.8651967645401827,0.8323218137919483
