date,1.农副食品加工业,2.食品制造业,3.酒、饮料及精制茶制造业,4.烟草制品业,5.纺织业,6.纺织服装、服饰业,7.皮革、毛皮、羽毛及其制品和制鞋业,8.木材加工和木、竹、藤、棕、草制品业,9.家具制造业,10.造纸和纸制品业,11.印刷和记录媒介复制业,12.文教、工美、体育和娱乐用品制造业,13.石油、煤炭及其他燃料加工业,14.化学原料和化学制品制造业,15.医药制造业,16.化学纤维制造业,17.橡胶和塑料制品业,18.非金属矿物制品业,19.黑色金属冶炼和压延加工业,20.有色金属冶炼和压延加工业,21.金属制品业,22.通用设备制造业,23.专用设备制造业,24.汽车制造业,25.铁路、船舶、航空航天和其他运输设备制造业,26.电气机械和器材制造业,27.计算机、通信和其他电子设备制造业,28.仪器仪表制造业,29.其他制造业,30.废弃资源综合利用业,31.金属制品、机械和设备修理业
2022-01-01,267730772.854,168334811.184,64810073.592,15392684.4238,836208480.26,298245445.356,260889561.66099998,139565757.6279,58951706.7614,233051559.805,36833805.8998,75262559.2099,304120130.03,722188479.56,71517915.133,279169152.641,412450521.99,1120978213.37,1515159678.11,702454259.53,404357922.309,144413648.21040002,105099551.311,58679902.351,47256342.148,416979904.834,729343951.6,21303849.0027,201078269.953,60989832.9604,21781122.2179
2022-02-01,197222227.546,123455917.809,46620938.3389,9442261.6182,716059387.6700001,233603412.163,193581766.7264,90899832.3172,42344367.0971,164597655.024,27064688.7289,57240831.7717,379348210.25,693080178.26,59310824.955,261460876.025,311140131.931,625748026.92,1439540331.61,670924365.57,302765995.846,101930829.7817,85335660.403,49065907.021400005,41785262.6134,360434065.724,625141629.34,16525283.6035,152854274.118,28860030.3996,14881139.485199999
2022-03-01,289306241.278,194592913.899,83736589.52600001,15708176.0056,1078899138.83,402987531.944,381637755.425,204233143.488,78772479.993,261859649.648,46158522.336,100136266.296,406571795.6,837054723.82,81471924.637,337472070.2,553308455.49,1402175819.73,1956262629.92,949948673.57,595103899.08,229119643.416,123837103.858,76071128.94500001,68940269.547,505466278.26,825682656.48,25250875.4209,258691362.651,70412655.87,28595777.025
2022-04-01,316534125.013,191947745.974,121911334.405,13981982.0172,1029881339.76,379176462.659,332770044.215,194631173.774,74785813.39,240215953.625,42042062.8086,94891267.909,383837460.98,845344390.26,83542816.126,325252831.52,511462100.14,1403498892.34,1871609562.49,883335269.93,555984386.16,219093718.518,119004777.08,60391261.1562,66573260.4622,452245286.771,844581178.48,26001061.5049,248546370.003,75981223.033,23732461.14
2022-05-01,308895651.578,207271236.012,97826141.723,50368247.18,1059980503.23,428594190.936,397630440.602,184359170.548,76610782.1739,258963068.912,46321968.6036,99351457.566,431792287.45,908494617.24,88821797.764,332622126.25,519134198.991,1446089045.32,1830791987.35,954370594.24,571404549.73,216686802.901,122178264.873,70003592.8469,72410454.238,494061303.559,869264875.56,25988411.1755,262340244.499,74604849.124,27642058.5945
2022-06-01,321239929.157,214833433.69099998,87097954.374,51498056.118,997744699.29,449171636.425,407672662.565,153622735.19,76164234.141,246707755.722,47810757.7787,101530353.735,422508063.36,805071526.62,94657351.637,317548637.551,508598266.292,1267696295.83,1636137435.0,856726625.11,540228185.421,203585484.543,130323325.509,79923146.9,73150347.027,520055432.53000003,859490610.6,28938604.2799,269563123.233,66103153.251,29330268.842
2022-07-01,377035075.79,252790822.25,106408330.971,23505636.534,1047903005.65,498523364.4,444316844.0,193735327.457,85545270.42,259248506.178,54153775.698,116404433.222,435784788.49,833396815.18,106139853.991,317106273.39,553806072.02,1413043764.9,1668220812.44,893166647.6,580207005.79,227078753.917,137731580.689,93945159.63,81765962.431,596903521.0,936456116.41,32998060.287,315252494.755,72296357.29,32550033.872
2022-08-01,423351610.0,276317603.0,109197577.0,18028861.0,1066025141.0,509249001.0,454686086.0,193237350.0,88375216.0,256561142.0,57060408.0,116784669.0,439416430.0,858199321.0,105978065.0,312867438.0,564756950.0,1428965560.0,1727909168.0,885174496.0,594163477.0,235704450.0,138155161.0,95897141.0,85079438.0,613693747.0,943281418.0,34226517.0,325776558.0,66722220.0,34677000.0
2022-09-01,399311047.0,256285027.0,83703279.0,19897624.0,1025423191.0,456650080.0,417046140.0,190544192.0,79795826.0,265403424.0,52569431.0,105354400.0,400476250.0,810657083.0,94576110.0,293591779.0,543115081.0,1398117292.0,1609979883.0,865000610.0,564703852.0,213197592.0,125888718.0,89535048.0,72060330.0,589799142.0,874115231.0,30264975.0,295959518.0,66142126.0,30487837.0
2022-10-01,355536654.0,230970787.0,84790563.0,19897816.0,1027163461.0,412810104.0,382347352.0,189247538.0,73159780.0,266451397.0,47318015.0,92327788.0,411358990.0,795398442.0,87198508.0,312230485.0,528330121.0,1412209432.0,1700517318.0,892641470.0,541423382.0,207954379.0,117878461.0,84124565.0,69874974.0,581519640.0,828345277.0,26349443.0,272267992.0,79553454.0,26607398.0
