variable,value,share_of_total
工业,487184024249,0.5657527787384129
制造业,451500916998,0.5243150137944704
大工业电量,449608585528,0.5221175037486577
居民生活,203490843856,0.23630805738514077
商业用电,94193382575,0.10938406285535344
机械,66432259084,0.07714586953580779
非普工业,63119444749,0.07329879364213528
石化,55023240664,0.06389690497104665
黑色金属冶炼,52168564707,0.060581851983502376
批发和零售业,49942481579,0.057996765747741465
公共服务及管理组织,48628616822,0.056471012438599075
非金属矿物制品业,42101341281,0.048891075307851486
化学制品制造业,42066051001,0.048850093721882544
纺织业,38199520255,0.04436000290455932
电子,35874336550,0.041659834022361564
通信设备制造业,34669128369,0.04026026046612663
有色金属冶炼,34112612597,0.03961399472515514
服装,29991063296,0.0348277582032524
非居照明,25046535502,0.029085820455361323
食品,24636487780,0.028609643843259838
金属制品业,21141140732,0.024550597966069072
农业,20102688108,0.023344672836397906
农林牧渔业,19217845612,0.022317130725119694
交通仓储和邮政业,17627576153,0.020470396594707722
抽水蓄能,16071474610,0.01866334068127033
服饰业,15570534250,0.01808161306594243
皮革行业,14420529056,0.016746145148922684
信息传输,13276809071,0.01541797606413001
住宿和餐饮业,12999020624,0.015095388339637318
化学纤维制造业,12303077610,0.01428720975738387
房地产业,12202275922,0.01417015165972676
造纸和纸制品业,9628323185,0.011181094464052342
建筑业,8126498713,0.00943706895024139
租赁和商务服务,7826033769,0.00908814766275968
橡胶和塑料,5385016982,0.006253465157886477
金融业,2004578116,0.0023278588436339526
