variable,mean,std,cv,logdiff_sd,mean_abs_logdiff,p95_abs_logdiff,peak_to_mean,min_to_mean
居民生活,185666828.33576643,47989918.929142,0.2584733059712494,0.049166040806441,0.03300629191716874,0.10235686800439225,1.7332923596778342,0.685360686885214
商业用电,85942867.3129562,21751167.776551846,0.25308869085489283,0.04397028235588371,0.03125150250287214,0.09037431682600423,1.5544420750302375,0.5058418849547298
厦门,105743516.60857664,22873485.52952226,0.21631099724242608,0.06030629425390532,0.04431876726698265,0.11462093332502508,1.4816198384997976,0.3985928532717382
非金属矿物制品业,38413632.55565693,8085450.058417598,0.21048387045153075,0.04742190280744776,0.02666475842514718,0.10274735386072197,1.1999260401425405,0.118406557708643
非普工业,57590734.2600365,11156305.071206413,0.1937170139354869,0.07334886029959248,0.042068445441762754,0.12309655448167263,1.2790123610407553,0.2621555566878169
莆田,41020505.48722628,7448369.367969111,0.18157673289249254,0.06907543110243537,0.050994478820414656,0.13692277023280422,1.5114032911980142,0.6097229349791516
泉州,166996650.40054744,29506280.152199768,0.17668785620207292,0.04295755986124836,0.026617646196875212,0.07724771331571034,1.3430621061083554,0.4495746879947832
黑色金属冶炼,47599055.38959854,8316062.468078541,0.17471066179804456,0.0430440918261509,0.030214826221280387,0.08376980090371795,1.3328875012478498,0.4112209757061124
纺织业,34853576.875,5956040.543085891,0.17088749784410445,0.03548512608611245,0.021806879855319844,0.07657492766826299,1.1544149727961028,0.25549340407547483
福州,171522212.03467155,28335342.709327713,0.16519926121055387,0.035120035852065516,0.02532284803400211,0.06981511248373662,1.3779098415091904,0.5398547564281785
制造业,411953391.42153287,66423770.60268902,0.16124098498978165,0.04601270770479504,0.02977717459701946,0.085153934553146,1.2093379187409683,0.32598584159387645
合计,785698255.0246351,121198152.74522756,0.15425534162784602,0.03378949683333608,0.023470841010138598,0.06478503820754183,1.317939677704302,0.5124609535850063
工业,444510971.03010947,67860101.63948411,0.15266237744869413,0.047270818090093245,0.03139965238796267,0.08919518261279576,1.2216207346729753,0.34588789258383795
电子,32732058.895985402,4942499.349382063,0.15099873078831172,0.0524164686632444,0.03649243977836789,0.09804794688407945,1.2655576336226348,0.45285012614400527
漳州,89892340.9270073,13248642.183765247,0.14738343719987404,0.036276643505812854,0.025013552828636952,0.07304515686496343,1.431724924201334,0.5199018238711687
宁德,91469848.88412409,13380005.015607994,0.14627776451842686,0.03781752622875436,0.02713269612833003,0.07909769583396195,1.319332200415886,0.44795599314816087
大工业电量,410226811.6131387,58613164.865715176,0.14287989767229034,0.043299086035576625,0.029667035572387708,0.08446893227578511,1.1818841072173147,0.37207747197163304
南平,37569846.12682482,4619914.379251161,0.12296867981986619,0.030654556969448646,0.020332127977154342,0.06110617450816417,1.2960796228875928,0.6071803414630569
三明,42368507.41058394,4462983.314690873,0.10533727967900963,0.0256730285699628,0.018068194663684742,0.048565822426789015,1.195871936412444,0.5450558306481942
龙岩,39114827.11678832,3328194.4553319486,0.08508779664025326,0.028380406678030105,0.019755854987060242,0.05669066950341238,1.1902425865514774,0.6681979169168328
