cause,effect,lag_weeks,controls,ordinary_stability_score,ordinary_min_q,f_stat,p_value,n,df2,q_value_fdr,pass_fdr_05
商业用电,黑色金属冶炼,2,合计;工业;制造业;大工业电量;非普工业;居民生活;T2M;RH2M;PRECTOTCORR;CDD18;HDD18;is_public_holiday;is_adjusted_workday;is_rest_day;is_spring_festival;is_national_holiday,0.5,0.0019121064233565,5.939655373036977,0.003484816333119145,155,118,0.19289342654832767,False
纺织业,非金属矿物制品业,2,合计;工业;制造业;大工业电量;非普工业;居民生活;商业用电;T2M;RH2M;PRECTOTCORR;CDD18;HDD18;is_public_holiday;is_adjusted_workday;is_rest_day;is_spring_festival;is_national_holiday,1.0,5.0857318356634096e-11,5.33237808188468,0.006088740609917376,155,116,0.19289342654832767,False
商业用电,非普工业,2,合计;工业;制造业;大工业电量;居民生活;T2M;RH2M;PRECTOTCORR;CDD18;HDD18;is_public_holiday;is_adjusted_workday;is_rest_day;is_spring_festival;is_national_holiday,0.5,6.549659034951749e-05,5.137152928625474,0.007233503495562288,155,120,0.19289342654832767,False
电子,非金属矿物制品业,2,合计;工业;制造业;大工业电量;非普工业;居民生活;商业用电;T2M;RH2M;PRECTOTCORR;CDD18;HDD18;is_public_holiday;is_adjusted_workday;is_rest_day;is_spring_festival;is_national_holiday,0.5,0.0012426468953565,4.6396126817126495,0.011523328228196128,155,116,0.23046656456392256,False
商业用电,纺织业,2,合计;工业;制造业;大工业电量;非普工业;居民生活;T2M;RH2M;PRECTOTCORR;CDD18;HDD18;is_public_holiday;is_adjusted_workday;is_rest_day;is_spring_festival;is_national_holiday,0.75,0.0004327414891339,3.924096373220026,0.022390635592334007,155,118,0.3582501694773441,False
黑色金属冶炼,纺织业,2,合计;工业;制造业;大工业电量;非普工业;居民生活;商业用电;T2M;RH2M;PRECTOTCORR;CDD18;HDD18;is_public_holiday;is_adjusted_workday;is_rest_day;is_spring_festival;is_national_holiday,0.5,0.0103062080311191,3.192927444228535,0.04468402409225691,155,116,0.5957869878967589,False
电子,纺织业,2,合计;工业;制造业;大工业电量;非普工业;居民生活;商业用电;T2M;RH2M;PRECTOTCORR;CDD18;HDD18;is_public_holiday;is_adjusted_workday;is_rest_day;is_spring_festival;is_national_holiday,1.0,2.0417667556671404e-10,2.9191043242833445,0.05795889288019218,155,116,0.5985444621036147,False
交通仓储和邮政业,非普工业,2,合计;工业;制造业;大工业电量;居民生活;商业用电;T2M;RH2M;PRECTOTCORR;CDD18;HDD18;is_public_holiday;is_adjusted_workday;is_rest_day;is_spring_festival;is_national_holiday,0.5,1.0742130618642978e-05,2.6988284169996537,0.07143820931419798,155,118,0.5985444621036147,False
纺织业,非普工业,2,合计;工业;制造业;大工业电量;居民生活;商业用电;T2M;RH2M;PRECTOTCORR;CDD18;HDD18;is_public_holiday;is_adjusted_workday;is_rest_day;is_spring_festival;is_national_holiday,1.0,2.208765467726081e-06,2.636891092854496,0.07579942315544808,155,118,0.5985444621036147,False
商业用电,非金属矿物制品业,2,合计;工业;制造业;大工业电量;非普工业;居民生活;T2M;RH2M;PRECTOTCORR;CDD18;HDD18;is_public_holiday;is_adjusted_workday;is_rest_day;is_spring_festival;is_national_holiday,0.5,0.0013304180779016,2.535624355073557,0.08352156312388082,155,118,0.5985444621036147,False
制造业,非金属矿物制品业,2,合计;工业;大工业电量;非普工业;居民生活;商业用电;T2M;RH2M;PRECTOTCORR;CDD18;HDD18;is_public_holiday;is_adjusted_workday;is_rest_day;is_spring_festival;is_national_holiday,0.75,9.796544513952408e-05,2.4559629008484993,0.09015525695386162,155,118,0.5985444621036147,False
黑色金属冶炼,制造业,2,合计;工业;大工业电量;非普工业;居民生活;商业用电;T2M;RH2M;PRECTOTCORR;CDD18;HDD18;is_public_holiday;is_adjusted_workday;is_rest_day;is_spring_festival;is_national_holiday,0.75,0.0015096583864572,2.2259584385005664,0.11247829859454517,155,118,0.5985444621036147,False
电子,非普工业,2,合计;工业;制造业;大工业电量;居民生活;商业用电;T2M;RH2M;PRECTOTCORR;CDD18;HDD18;is_public_holiday;is_adjusted_workday;is_rest_day;is_spring_festival;is_national_holiday,0.75,4.7738558206500414e-06,2.1764924297844894,0.11797198349377747,155,118,0.5985444621036147,False
非金属矿物制品业,纺织业,2,合计;工业;制造业;大工业电量;非普工业;居民生活;商业用电;T2M;RH2M;PRECTOTCORR;CDD18;HDD18;is_public_holiday;is_adjusted_workday;is_rest_day;is_spring_festival;is_national_holiday,0.75,3.872612270361397e-06,2.1757571640391666,0.11813346513817469,155,116,0.5985444621036147,False
电子,制造业,2,合计;工业;大工业电量;非普工业;居民生活;商业用电;T2M;RH2M;PRECTOTCORR;CDD18;HDD18;is_public_holiday;is_adjusted_workday;is_rest_day;is_spring_festival;is_national_holiday,1.0,1.0134433292563472e-09,2.144949512569546,0.1216168732158871,155,118,0.5985444621036147,False
交通仓储和邮政业,纺织业,2,合计;工业;制造业;大工业电量;非普工业;居民生活;商业用电;T2M;RH2M;PRECTOTCORR;CDD18;HDD18;is_public_holiday;is_adjusted_workday;is_rest_day;is_spring_festival;is_national_holiday,0.5,0.0001406670446988,2.0491424107533036,0.13348383638730066,155,116,0.5985444621036147,False
纺织业,工业,2,合计;制造业;大工业电量;非普工业;居民生活;商业用电;T2M;RH2M;PRECTOTCORR;CDD18;HDD18;is_public_holiday;is_adjusted_workday;is_rest_day;is_spring_festival;is_national_holiday,1.0,3.803744199615266e-08,1.9127531356133922,0.15222401216003112,155,118,0.5985444621036147,False
纺织业,制造业,2,合计;工业;大工业电量;非普工业;居民生活;商业用电;T2M;RH2M;PRECTOTCORR;CDD18;HDD18;is_public_holiday;is_adjusted_workday;is_rest_day;is_spring_festival;is_national_holiday,1.0,1.035722707598552e-08,1.9051589822159682,0.15334792266776243,155,118,0.5985444621036147,False
住宿和餐饮业,纺织业,2,合计;工业;制造业;大工业电量;非普工业;居民生活;商业用电;T2M;RH2M;PRECTOTCORR;CDD18;HDD18;is_public_holiday;is_adjusted_workday;is_rest_day;is_spring_festival;is_national_holiday,0.25,0.0035616158292051,1.8994022438643021,0.15428343412152945,155,116,0.5985444621036147,False
交通仓储和邮政业,制造业,2,合计;工业;大工业电量;非普工业;居民生活;商业用电;T2M;RH2M;PRECTOTCORR;CDD18;HDD18;is_public_holiday;is_adjusted_workday;is_rest_day;is_spring_festival;is_national_holiday,0.25,0.0038529895837579,1.8115075119966024,0.1679222622513431,155,118,0.5985444621036147,False
黑色金属冶炼,工业,2,合计;制造业;大工业电量;非普工业;居民生活;商业用电;T2M;RH2M;PRECTOTCORR;CDD18;HDD18;is_public_holiday;is_adjusted_workday;is_rest_day;is_spring_festival;is_national_holiday,0.75,0.0012476404771157,1.7916528673320418,0.1711888768185883,155,118,0.5985444621036147,False
纺织业,大工业电量,2,合计;工业;制造业;非普工业;居民生活;商业用电;T2M;RH2M;PRECTOTCORR;CDD18;HDD18;is_public_holiday;is_adjusted_workday;is_rest_day;is_spring_festival;is_national_holiday,1.0,2.27051655277144e-07,1.7388761446102912,0.18018985098177798,155,118,0.5985444621036147,False
农业,非普工业,2,合计;工业;制造业;大工业电量;居民生活;商业用电;T2M;RH2M;PRECTOTCORR;CDD18;HDD18;is_public_holiday;is_adjusted_workday;is_rest_day;is_spring_festival;is_national_holiday,0.5,4.8857801093507824e-05,1.7126633231805606,0.18483784008705517,155,118,0.5985444621036147,False
黑色金属冶炼,电子,2,合计;工业;制造业;大工业电量;非普工业;居民生活;商业用电;T2M;RH2M;PRECTOTCORR;CDD18;HDD18;is_public_holiday;is_adjusted_workday;is_rest_day;is_spring_festival;is_national_holiday,0.75,0.0002651878068901,1.6746960135562188,0.1918629579152472,155,116,0.5985444621036147,False
黑色金属冶炼,大工业电量,2,合计;工业;制造业;非普工业;居民生活;商业用电;T2M;RH2M;PRECTOTCORR;CDD18;HDD18;is_public_holiday;is_adjusted_workday;is_rest_day;is_spring_festival;is_national_holiday,0.75,0.0019121064233565,1.5941190216821892,0.20742954934418223,155,118,0.5985444621036147,False
电子,工业,2,合计;制造业;大工业电量;非普工业;居民生活;商业用电;T2M;RH2M;PRECTOTCORR;CDD18;HDD18;is_public_holiday;is_adjusted_workday;is_rest_day;is_spring_festival;is_national_holiday,0.75,5.8882859445473305e-08,1.588712570967794,0.20852443167267942,155,118,0.5985444621036147,False
交通仓储和邮政业,非金属矿物制品业,2,合计;工业;制造业;大工业电量;非普工业;居民生活;商业用电;T2M;RH2M;PRECTOTCORR;CDD18;HDD18;is_public_holiday;is_adjusted_workday;is_rest_day;is_spring_festival;is_national_holiday,0.5,0.0001602185954145,1.565101430410323,0.2134490658449022,155,116,0.5985444621036147,False
非金属矿物制品业,电子,2,合计;工业;制造业;大工业电量;非普工业;居民生活;商业用电;T2M;RH2M;PRECTOTCORR;CDD18;HDD18;is_public_holiday;is_adjusted_workday;is_rest_day;is_spring_festival;is_national_holiday,0.5,0.0082952856809403,1.556447662867582,0.215255400962845,155,116,0.5985444621036147,False
住宿和餐饮业,非金属矿物制品业,2,合计;工业;制造业;大工业电量;非普工业;居民生活;商业用电;T2M;RH2M;PRECTOTCORR;CDD18;HDD18;is_public_holiday;is_adjusted_workday;is_rest_day;is_spring_festival;is_national_holiday,0.5,0.0097738593710967,1.5238205851996638,0.2222067696530946,155,116,0.5985444621036147,False
化学制品制造业,非金属矿物制品业,2,合计;工业;制造业;大工业电量;非普工业;居民生活;商业用电;T2M;RH2M;PRECTOTCORR;CDD18;HDD18;is_public_holiday;is_adjusted_workday;is_rest_day;is_spring_festival;is_national_holiday,0.5,0.0015067151714774,1.513493877331409,0.22445417328885553,155,116,0.5985444621036147,False
合计,纺织业,2,工业;制造业;大工业电量;非普工业;居民生活;商业用电;T2M;RH2M;PRECTOTCORR;CDD18;HDD18;is_public_holiday;is_adjusted_workday;is_rest_day;is_spring_festival;is_national_holiday,0.75,0.0001528374084846,1.3944291485274938,0.2520302839404668,155,118,0.6459434819484041,False
黑色金属冶炼,非金属矿物制品业,2,合计;工业;制造业;大工业电量;非普工业;居民生活;商业用电;T2M;RH2M;PRECTOTCORR;CDD18;HDD18;is_public_holiday;is_adjusted_workday;is_rest_day;is_spring_festival;is_national_holiday,1.0,1.0080352347241471e-05,1.2515772946014483,0.28988684349731064,155,116,0.6459434819484041,False
黑色金属冶炼,非普工业,2,合计;工业;制造业;大工业电量;居民生活;商业用电;T2M;RH2M;PRECTOTCORR;CDD18;HDD18;is_public_holiday;is_adjusted_workday;is_rest_day;is_spring_festival;is_national_holiday,0.75,0.0010973808470459,1.2447253746232279,0.29177358829948896,155,118,0.6459434819484041,False
电子,大工业电量,2,合计;工业;制造业;非普工业;居民生活;商业用电;T2M;RH2M;PRECTOTCORR;CDD18;HDD18;is_public_holiday;is_adjusted_workday;is_rest_day;is_spring_festival;is_national_holiday,0.75,1.3976740530655514e-06,1.2368624675829543,0.2940291969782448,155,118,0.6459434819484041,False
